Race Number,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track Type
1,Daytona,16,34,15,   Brennan Poole,Spartan Go / Spartan Mosquito   (Jay Robinson),Chevrolet,209,running,0,21,0,Super Speedway
1,Daytona,17,25,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,209,running,23,34,1,Super Speedway
1,Daytona,18,14,20,   Erik Jones,DeWalt   (Joe Gibbs),Toyota,208,running,0,19,0,Super Speedway
1,Daytona,19,16,21,   Matt DiBenedetto,Motorcraft / Quick Lane   (Wood Brothers),Ford,207,running,0,21,0,Super Speedway
1,Daytona,20,1,47,   Ricky Stenhouse Jr,Kroger / Velveeta / Cheerios   (JTG-Daugherty Racing),Chevrolet,206,running,24,29,0,Super Speedway
1,Daytona,21,17,95,   Christopher Bell,Procore   (Leavine Family Racing),Toyota,205,crash,0,16,0,Super Speedway
1,Daytona,22,5,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,205,running,6,23,0,Super Speedway
1,Daytona,23,37,51,   Joey Gase,EFX Corp. / PageKC.com   (Rick Ware),Chevrolet,203,running,0,0,0,Super Speedway
1,Daytona,24,2,88,   Alex Bowman,Valvoline   (Rick Hendrick),Chevrolet,203,running,3,22,0,Super Speedway
1,Daytona,25,20,77,   Ross Chastain,Advent Health   (Spire Motorsports),Chevrolet,201,crash,0,0,0,Super Speedway
1,Daytona,26,3,22,   Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,200,crash,6,20,0,Super Speedway
1,Daytona,27,32,66,   Timmy Hill,RoofClaim.com / VSI Racing   (Carl Long),Ford,200,crash,0,0,0,Super Speedway
1,Daytona,28,22,8,   Tyler Reddick,Caterpillar   (Richard Childress),Chevrolet,199,crash,0,9,0,Super Speedway
1,Daytona,29,31,37,   Ryan Preece,Cottonelle   (JTG-Daugherty Racing),Chevrolet,198,crash,0,8,0,Super Speedway
1,Daytona,30,24,13,   Ty Dillon,GEICO   (Germain Racing),Chevrolet,198,crash,0,8,0,Super Speedway
1,Daytona,31,40,27,   Reed Sorenson,Premium Motorsports   (Jay Robinson),Chevrolet,192,crash,0,6,0,Super Speedway
1,Daytona,32,15,19,   Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs   (Joe Gibbs),Toyota,186,crash,0,12,0,Super Speedway
1,Daytona,33,18,1,   Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,184,crash,0,4,0,Super Speedway
1,Daytona,34,28,18,   Kyle Busch,M&M's   (Joe Gibbs),Toyota,184,engine,14,12,0,Super Speedway
1,Daytona,35,6,48,   Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,184,crash,3,13,0,Super Speedway
1,Daytona,36,9,2,   Brad Keselowski,Discount Tire   (Roger Penske),Ford,183,crash,30,1,0,Super Speedway
1,Daytona,37,12,41,   Cole Custer,Haas Automation   (Stewart Haas Racing),Ford,174,rear end,0,1,0,Super Speedway
1,Daytona,38,38,52,   B.J. McLeod,Christensen Arms   (Rick Ware),Ford,105,crash,0,0,0,Super Speedway
1,Daytona,39,35,0,   Quin Houff,Jacob Construction   (StarCom Racing),Chevrolet,89,crash,0,1,0,Super Speedway
1,Daytona,40,4,24,   William Byron,"Axalta ""Color of the Year""   (Rick Hendrick)",Chevrolet,58,crash,0,1,0,Super Speedway
2,Las Vegas,1,5,22,   Joey Logano,Pennzoil   (Roger Penske),Ford,267,running,54,52,5,Oval
2,Las Vegas,2,19,21,   Matt DiBenedetto,Motorcraft / Quick Lane   (Wood Brothers),Ford,267,running,0,35,0,Oval
2,Las Vegas,3,26,47,   Ricky Stenhouse Jr,Kroger / Cheerios / Healthy Choice   (JTG-Daugherty Racing),Chevrolet,267,running,30,34,0,Oval
2,Las Vegas,4,21,3,   Austin Dillon,Bass Pro Shops / Tracker Off Road   (Richard Childress),Chevrolet,267,running,1,33,0,Oval
2,Las Vegas,5,18,48,   Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,267,running,0,38,0,Oval
2,Las Vegas,6,27,43,   Bubba Wallace,Coca-Cola Energy   (Richard Petty Motorsports),Chevrolet,267,running,0,31,0,Oval
2,Las Vegas,7,8,2,   Brad Keselowski,Discount Tire   (Roger Penske),Ford,267,running,0,30,0,Oval
2,Las Vegas,8,3,4,   Kevin Harvick,Busch Light   (Stewart Haas Racing),Ford,267,running,92,42,0,Oval
2,Las Vegas,9,6,42,   Kyle Larson,Credit One Bank   (Chip Ganassi),Chevrolet,267,running,0,35,0,Oval
2,Las Vegas,10,24,13,   Ty Dillon,GEICO   (Germain Racing),Chevrolet,267,running,0,27,0,Oval
2,Las Vegas,11,7,12,   Ryan Blaney,Menards / Pennzoil   (Roger Penske),Ford,267,running,19,42,0,Oval
