Track, EndPos, StartPos, CarNumber, Driver, Sponsor, Manufacturer, Laps, Led, Pts, PPts
Martinsville,10,12,18, Kyle Busch,Snickers Peanut Brownie Squares  (Joe Gibbs),Toyota,500,running,0,29,0
Martinsville,11,4,12, Ryan Blaney,Menards / Pennzoil  (Roger Penske),Ford,500,running,157,46,2
Martinsville,12,22,21, Matt DiBenedetto,Motorcraft / Quick Lane  (Wood Brothers),Ford,500,running,0,25,0
Martinsville,13,15,17, Chris Buescher,Fastenal / Georgia-Pacific  (Jack Roush),Ford,500,running,0,24,0
Martinsville,14,18,3, Austin Dillon,American Ethanol  (Richard Childress),Chevrolet,500,running,0,23,0
Martinsville,15,6,47, Ricky Stenhouse Jr,Kroger / Crest  (JTG-Daugherty Racing),Chevrolet,500,running,0,22,0
Martinsville,16,25,23, Bubba Wallace,Door Dash  (23XI Racing),Toyota,500,running,23,21,0
Martinsville,17,27,42, Ross Chastain,Chevrolet Accessories  (Chip Ganassi),Chevrolet,500,running,0,20,0
Martinsville,18,26,41, Cole Custer,HaasTooling.com  (Stewart Haas Racing),Ford,500,running,0,19,0
Martinsville,19,8,6, Ryan Newman,Guaranteed Rate  (Jack Roush),Ford,499,running,0,18,0
Martinsville,20,31,10, Aric Almirola,Smithfield Anytime Favorites  (Stewart Haas Racing),Ford,499,running,0,17,0
Martinsville,21,21,1, Kurt Busch,Gear Wrench  (Chip Ganassi),Chevrolet,498,running,0,17,0
Martinsville,22,37,15, James Davison,Jacob Companies  (Rick Ware),Chevrolet,494,running,0,15,0
Martinsville,23,33,52, Josh Bilicki,Insurance King  (Rick Ware),Ford,493,running,0,14,0
Martinsville,24,29,0, Quin Houff,Gardner Marsh  (StarCom Racing),Chevrolet,493,running,0,13,0
Martinsville,25,28,53, J.J. Yeley,Fatboy Ice Cream  (Rick Ware),Chevrolet,492,running,0,0,0
Martinsville,26,35,38, Anthony Alfredo,iRacing  (Bob Jenkins),Ford,492,running,0,11,0
Martinsville,27,24,14, Chase Briscoe,Rush Truck Centers  (Stewart Haas Racing),Ford,491,running,0,10,0
Martinsville,28,32,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,490,running,0,0,0
Martinsville,29,36,78, B.J. McLeod,CorvetteParts.net  (B.J. McLeod),Ford,478,running,0,0,0
Martinsville,30,16,43, Erik Jones,Petty's Garage  (Richard Petty Motorsports),Chevrolet,403,rear gear,0,7,0
Martinsville,31,14,34, Michael McDowell,FR8 Auctions  (Bob Jenkins),Ford,387,crash,0,6,0
Martinsville,32,11,99, Daniel Suarez,Camping World  (Trackhouse Racing),Chevrolet,386,crash,0,-5,0
Martinsville,33,10,2, Brad Keselowski,Auto Trader  (Roger Penske),Ford,385,crash,0,12,0
Martinsville,34,20,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,384,crash,0,13,0
Martinsville,35,30,77, Justin Haley,Diamond Creek Water  (Spire Motorsports),Chevrolet,383,crash,0,0,0
Martinsville,36,17,37, Ryan Preece,Louisiana Hot Sauce  (JTG-Daugherty Racing),Chevrolet,382,crash,0,1,0
Martinsville,37,34,7, Corey LaJoie,Ark.io  (Spire Motorsports),Chevrolet,374,crash,0,1,0
Richmond,1,24,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,400,running,10,51,5
Richmond,2,2,11, Denny Hamlin,FedEx Ground  (Joe Gibbs),Toyota,400,running,207,55,2
Richmond,3,5,22, Joey Logano,Shell / Pennzoil  (Roger Penske),Ford,400,running,49,50,0
Richmond,4,8,20, Christopher Bell,SiriusXM  (Joe Gibbs),Toyota,400,running,0,40,0
Richmond,5,1,19, Martin Truex Jr,Auto-Owners Insurance  (Joe Gibbs),Toyota,400,running,107,50,0
Richmond,6,22,10, Aric Almirola,Smithfield  (Stewart Haas Racing),Ford,400,running,0,32,0
Richmond,7,4,24, William Byron,Liberty University  (Rick Hendrick),Chevrolet,400,running,0,40,0
Richmond,8,10,18, Kyle Busch,M&M's Red Nose Day  (Joe Gibbs),Toyota,400,running,1,33,0
Richmond,9,16,21, Matt DiBenedetto,Menards / Libman  (Wood Brothers),Ford,400,running,0,33,0
Richmond,10,11,3, Austin Dillon,Chevrolet  (Richard Childress),Chevrolet,400,running,1,30,0
Richmond,11,7,12, Ryan Blaney,Body Armor  (Roger Penske),Ford,400,running,0,32,0
Richmond,12,3,9, Chase Elliott,NAPA Auto Parts  (Rick Hendrick),Chevrolet,400,running,0,25,0
Richmond,13,17,1, Kurt Busch,Tubi TV  (Chip Ganassi),Chevrolet,400,running,0,24,0
Richmond,14,20,2, Brad Keselowski,Discount Tire  (Roger Penske),Ford,400,running,25,25,0
Richmond,15,18,42, Ross Chastain,McDonald's  (Chip Ganassi),Chevrolet,399,running,0,22,0
Richmond,16,27,99, Daniel Suarez,Camping World  (Trackhouse Racing),Chevrolet,399,running,0,21,0
Richmond,17,14,47, Ricky Stenhouse Jr,Kroger / Nature Valley  (JTG-Daugherty Racing),Chevrolet,399,running,0,20,0
Richmond,18,6,5, Kyle Larson,HendrickCars.com  (Rick Hendrick),Chevrolet,398,running,0,19,0
Richmond,19,30,43, Erik Jones,Medallion Bank  (Richard Petty Motorsports),Chevrolet,398,running,0,18,0
Richmond,20,13,8, Tyler Reddick,CAT #WhatPowersYou  (Richard Childress),Chevrolet,398,running,0,17,0
Richmond,21,36,7, Corey LaJoie,Schluter Systems  (Spire Motorsports),Chevrolet,398,running,0,16,0
Richmond,22,26,14, Chase Briscoe,Global Mustang Week  (Stewart Haas Racing),Ford,398,running,0,15,0
Richmond,23,21,41, Cole Custer,HaasTooling.com  (Stewart Haas Racing),Ford,398,running,0,14,0
Richmond,24,9,4, Kevin Harvick,Hunt Brothers Pizza  (Stewart Haas Racing),Ford,397,running,0,20,0
Richmond,25,12,17, Chris Buescher,Fifth Third Bank  (Jack Roush),Ford,397,running,0,12,0
Richmond,26,15,23, Bubba Wallace,Root Insurance  (23XI Racing),Toyota,397,running,0,11,0
Richmond,27,23,34, Michael McDowell,Love's Travel Stops / Speedco  (Bob Jenkins),Ford,396,running,0,10,0
Richmond,28,38,33, Austin Cindric,Verizon 5G  (Roger Penske),Ford,396,running,0,0,0
Richmond,29,25,37, Ryan Preece,Maxwell House  (JTG-Daugherty Racing),Chevrolet,396,running,0,8,0
Richmond,30,19,6, Ryan Newman,Oscar Mayer Bacon  (Jack Roush),Ford,395,running,0,7,0
Richmond,31,29,38, Anthony Alfredo,MDS  (Bob Jenkins),Ford,395,running,0,6,0
Richmond,32,35,78, B.J. McLeod,Surface Sunscreen  (B.J. McLeod),Ford,393,running,0,0,0
Richmond,33,28,15, James Davison,Jacob Companies  (Rick Ware),Chevrolet,390,running,0,4,0
Richmond,34,32,0, Quin Houff,Mount-N-Lock  (StarCom Racing),Chevrolet,390,running,0,3,0
Richmond,35,37,53, Garrett Smithley,Trophy Tractor  (Rick Ware),Chevrolet,389,running,0,0,0
Richmond,36,33,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,385,running,0,0,0
Richmond,37,31,52, Josh Bilicki,Insurance King  (Rick Ware),Ford,384,running,0,1,0
Richmond,38,34,77, Justin Haley,Diamond Creek Water  (Spire Motorsports),Chevrolet,1,engine,0,0,0
Talladega,1,10,2, Brad Keselowski,Money Lion  (Roger Penske),Ford,191,running,1,49,5
Talladega,2,4,24, William Byron,Liberty University  (Rick Hendrick),Chevrolet,191,running,12,41,0
Talladega,3,23,34, Michael McDowell,Love's Travel Stops / Speedco  (Bob Jenkins),Ford,191,running,0,45,0
Talladega,4,16,4, Kevin Harvick,Busch Dog Brew  (Stewart Haas Racing),Ford,191,running,12,35,0
Talladega,5,13,21, Matt DiBenedetto,Motorcraft / Quick Lane  (Wood Brothers),Ford,191,running,28,42,1
Talladega,6,38,16, Kaz Grala,Chevrolet / Hyperice  (Matthew Kaulig),Chevrolet,191,running,0,31,0
Talladega,7,20,8, Tyler Reddick,Roland  (Richard Childress),Chevrolet,191,running,0,30,0
Talladega,8,11,3, Austin Dillon,Bass Pro Shops / Tracker Off Road  (Richard Childress),Chevrolet,191,running,0,29,0
Talladega,9,7,12, Ryan Blaney,Menards / Sylvania  (Roger Penske),Ford,191,running,11,42,0
Talladega,10,27,41, Cole Custer,HaasTooling.com  (Stewart Haas Racing),Ford,191,running,0,27,0
Talladega,11,25,14, Chase Briscoe,Rush Truck Centers / Cummins  (Stewart Haas Racing),Ford,191,running,1,26,0
Talladega,12,30,38, Anthony Alfredo,Speedy Cash  (Bob Jenkins),Ford,191,running,0,25,0
Talladega,13,28,6, Ryan Newman,Castrol  (Jack Roush),Ford,191,running,2,24,0
Talladega,14,29,37, Ryan Preece,Kroger / Reese's  (JTG-Daugherty Racing),Chevrolet,191,running,9,29,0
Talladega,15,14,10, Aric Almirola,Smithfield  (Stewart Haas Racing),Ford,191,running,16,22,0
Talladega,16,18,42, Ross Chastain,Caregility / Yorktel  (Chip Ganassi),Chevrolet,191,running,12,21,0
Talladega,17,6,20, Christopher Bell,DeWalt  (Joe Gibbs),Toyota,191,running,2,23,0
Talladega,18,9,18, Kyle Busch,Interstate Batteries  (Joe Gibbs),Toyota,191,running,6,26,0
Talladega,19,24,23, Bubba Wallace,Door Dash  (23XI Racing),Toyota,191,running,16,28,1
Talladega,20,39,96, Harrison Burton,Dex Imaging  (Gaunt Brothers),Toyota,191,running,0,0,0
Talladega,21,21,17, Chris Buescher,Fastenal / Milwaukee  (Jack Roush),Ford,191,running,0,25,0
Talladega,22,26,7, Corey LaJoie,Fox Nation  (Spire Motorsports),Chevrolet,191,running,0,15,0
Talladega,23,19,99, Daniel Suarez,CommScope  (Trackhouse Racing),Chevrolet,191,running,0,14,0
Talladega,24,8,9, Chase Elliott,NAPA Auto Parts  (Rick Hendrick),Chevrolet,191,running,3,21,0
Talladega,25,31,78, B.J. McLeod,Long-Lewis Automotive Group  (B.J. McLeod),Ford,191,running,0,0,0
Talladega,26,37,15, J.J. Yeley,Arrowhead Brass  (Rick Ware),Chevrolet,191,running,0,0,0
Talladega,27,22,43, Erik Jones,U.S. Air Force Tuskegee Airmen  (Richard Petty Motorsports),Chevrolet,190,crash,7,10,0
Talladega,28,33,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,190,running,0,0,0
Talladega,29,40,66, Timmy Hill,Supreme Transportation  (Carl Long),Ford,190,running,0,0,0
Talladega,30,34,77, Justin Haley,FOE  (Spire Motorsports),Chevrolet,190,running,0,0,0
Talladega,31,3,19, Martin Truex Jr,Bass Pro Shops  (Joe Gibbs),Toyota,189,running,0,6,0
Talladega,32,1,11, Denny Hamlin,FedEx Ground  (Joe Gibbs),Toyota,188,running,43,12,0
Talladega,33,17,47, Ricky Stenhouse Jr,NOS Energy Drink  (JTG-Daugherty Racing),Chevrolet,186,running,0,7,0
Talladega,34,35,28, Joey Gase,Register Me Davey Allison Tribute  (Rick Ware),Ford,186,running,0,0,0
Talladega,35,15,1, Kurt Busch,Monster Energy  (Chip Ganassi),Chevrolet,185,running,0,2,0
Talladega,36,36,52, Josh Bilicki,Jacob Companies  (Rick Ware),Ford,180,running,0,1,0
Talladega,37,32,0, Quin Houff,Permatex  (StarCom Racing),Chevrolet,168,crash,0,1,0
Talladega,38,5,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,123,dvp,0,5,0
Talladega,39,2,22, Joey Logano,Autotrader  (Roger Penske),Ford,59,crash,10,1,0
Talladega,40,12,5, Kyle Larson,Hendrickcars.com  (Rick Hendrick),Chevrolet,3,engine,0,1,0
Kansas,1,9,18, Kyle Busch,M&M's Mix  (Joe Gibbs),Toyota,267,running,20,59,6
Kansas,2,4,4, Kevin Harvick,Busch Light For The Farmers  (Stewart Haas Racing),Ford,267,running,0,40,0
Kansas,3,1,2, Brad Keselowski,Verizon 5G  (Roger Penske),Ford,267,running,72,48,0
Kansas,4,5,21, Matt DiBenedetto,Dickies / Menards  (Wood Brothers),Ford,267,running,0,33,0
Kansas,5,17,9, Chase Elliott,UniFirst  (Rick Hendrick),Chevrolet,267,running,0,43,0
Kansas,6,15,19, Martin Truex Jr,Auto-Owners Insurance  (Joe Gibbs),Toyota,267,running,0,35,0
Kansas,7,11,8, Tyler Reddick,Childress Vineyards  (Richard Childress),Chevrolet,267,running,0,41,0
Kansas,8,16,17, Chris Buescher,Auto Tempest  (Jack Roush),Ford,267,running,13,29,0
Kansas,9,2,24, William Byron,Axalta  (Rick Hendrick),Chevrolet,267,running,0,34,0
Kansas,10,6,3, Austin Dillon,Bass Pro Shops / Tracker Off Road  (Richard Childress),Chevrolet,267,running,0,27,0
Kansas,11,21,99, Daniel Suarez,Camping World  (Trackhouse Racing),Chevrolet,267,running,0,26,0
Kansas,12,20,11, Denny Hamlin,FedEx Freight  (Joe Gibbs),Toyota,267,running,7,35,0
Kansas,13,3,34, Michael McDowell,CarParts.com  (Bob Jenkins),Ford,267,running,0,24,0
Kansas,14,24,42, Ross Chastain,Clover  (Chip Ganassi),Chevrolet,267,running,0,23,0
Kansas,15,28,1, Kurt Busch,Monster Energy  (Chip Ganassi),Chevrolet,267,running,0,22,0
Kansas,16,14,6, Ryan Newman,Hy-Vee  (Jack Roush),Ford,267,running,0,21,0
Kansas,17,29,22, Joey Logano,AAA Insurance  (Roger Penske),Ford,267,running,0,20,0
Kansas,18,25,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,267,running,0,19,0
Kansas,19,32,5, Kyle Larson,HendrickCars.com  (Rick Hendrick),Chevrolet,267,running,132,37,1
Kansas,20,19,14, Chase Briscoe,HighPoint.com  (Stewart Haas Racing),Ford,267,running,0,17,0
Kansas,21,7,12, Ryan Blaney,Menards / Moen  (Roger Penske),Ford,267,running,0,24,0
Kansas,22,38,33, Austin Cindric,Money Lion  (Roger Penske),Ford,267,running,0,0,0
Kansas,23,22,38, Anthony Alfredo,Dude Wipes  (Bob Jenkins),Ford,266,running,0,14,0
Kansas,24,10,41, Cole Custer,HaasTooling.com  (Stewart Haas Racing),Ford,266,running,0,13,0
Kansas,25,27,43, Erik Jones,Black Entrepreneur Initiative  (Richard Petty Motorsports),Chevrolet,266,running,0,12,0
Kansas,26,13,23, Bubba Wallace,Dr. Pepper Zero Sugar  (23XI Racing),Toyota,266,running,0,11,0
Kansas,27,26,7, Corey LaJoie,Nations Guard  (Spire Motorsports),Chevrolet,265,running,0,10,0
Kansas,28,8,20, Christopher Bell,Rheem  (Joe Gibbs),Toyota,265,running,0,12,0
Kansas,29,18,10, Aric Almirola,Smithfield / Price Chopper  (Stewart Haas Racing),Ford,264,running,0,8,0
Kansas,30,31,77, Justin Haley,NASCAR Trucks at Knoxville  (Spire Motorsports),Chevrolet,263,running,0,0,0
Kansas,31,30,78, B.J. McLeod,Celsius  (B.J. McLeod),Ford,260,running,0,0,0
Kansas,32,12,37, Ryan Preece,Nature Valley  (JTG-Daugherty Racing),Chevrolet,259,crash,0,5,0
Kansas,33,36,53, Garrett Smithley,Smart Sanitizer  (Rick Ware),Chevrolet,259,running,0,0,0
Kansas,34,23,47, Ricky Stenhouse Jr,Kroger / Energizer  (JTG-Daugherty Racing),Chevrolet,258,crash,23,3,0
Kansas,35,35,15, Joey Gase,Explore Branson  (Rick Ware),Chevrolet,258,running,0,0,0
Kansas,36,33,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,257,running,0,0,0
Kansas,37,34,0, Quin Houff,8 Ball Chocolate Whiskey  (StarCom Racing),Chevrolet,256,running,0,1,0
Kansas,38,39,55, Matt Mills,Siebert Electric / J.F. Electric  (B.J. McLeod),Ford,255,running,0,0,0
Kansas,39,37,52, Josh Bilicki,RBR Aviation  (Rick Ware),Ford,250,running,0,1,0
Darlington,1,4,19, Martin Truex Jr,Auto-Owners Insurance  (Joe Gibbs),Toyota,293,running,248,60,7
Darlington,2,14,5, Kyle Larson,HendrickCars.com Throwback  (Rick Hendrick),Chevrolet,293,running,0,48,0
Darlington,3,3,18, Kyle Busch,M&M's  (Joe Gibbs),Toyota,293,running,9,43,0
Darlington,4,5,24, William Byron,Valvoline Throwback  (Rick Hendrick),Chevrolet,293,running,0,43,0
Darlington,5,7,11, Denny Hamlin,Sport Clips  (Joe Gibbs),Toyota,293,running,5,48,0
Darlington,6,2,4, Kevin Harvick,Mobil 1 Throwback  (Stewart Haas Racing),Ford,293,running,10,37,0
Darlington,7,6,9, Chase Elliott,Hooters Throwback  (Rick Hendrick),Chevrolet,293,running,0,33,0
Darlington,8,16,12, Ryan Blaney,Advance Auto Parts  (Roger Penske),Ford,293,running,0,35,0
Darlington,9,11,17, Chris Buescher,Fifth Third Bank  (Jack Roush),Ford,293,running,1,29,0
Darlington,10,20,6, Ryan Newman,Kohler Generators  (Jack Roush),Ford,292,running,0,27,0
Darlington,11,22,14, Chase Briscoe,HighPoint.com Throwback  (Stewart Haas Racing),Ford,292,running,0,26,0
Darlington,12,10,8, Tyler Reddick,Quartz Hill Records  (Richard Childress),Chevrolet,292,running,2,36,0
Darlington,13,12,22, Joey Logano,Shell / Pennzoil  (Roger Penske),Ford,292,running,0,33,0
Darlington,14,21,20, Christopher Bell,Rheem  (Joe Gibbs),Toyota,292,running,3,28,0
Darlington,15,18,42, Ross Chastain,McDonald's  (Chip Ganassi),Chevrolet,291,running,10,22,0
Darlington,16,9,3, Austin Dillon,Bass Pro Shops  (Richard Childress),Chevrolet,291,running,0,21,0
Darlington,17,19,48, Alex Bowman,Ally Throwback  (Rick Hendrick),Chevrolet,291,running,0,21,0
Darlington,18,26,43, Erik Jones,STP  (Richard Petty Motorsports),Chevrolet,291,running,0,19,0
Darlington,19,8,21, Matt DiBenedetto,Menards / Dutch Boy  (Wood Brothers),Ford,290,running,0,18,0
Darlington,20,28,47, Ricky Stenhouse Jr,Kroger / Tide  (JTG-Daugherty Racing),Chevrolet,290,running,0,17,0
Darlington,21,23,23, Bubba Wallace,Root Insurance  (23XI Racing),Toyota,290,running,0,16,0
Darlington,22,30,7, Corey LaJoie,In Memory of Alan Kulwicki  (Spire Motorsports),Chevrolet,290,running,0,15,0
Darlington,23,15,99, Daniel Suarez,Camping World Throwback  (Trackhouse Racing),Chevrolet,290,running,0,14,0
Darlington,24,1,2, Brad Keselowski,Freightliner  (Roger Penske),Ford,290,running,4,13,0
Darlington,25,29,37, Ryan Preece,Velveeta  (JTG-Daugherty Racing),Chevrolet,290,running,0,12,0
Darlington,26,25,38, Anthony Alfredo,We Care  (Bob Jenkins),Ford,289,running,0,11,0
Darlington,27,13,34, Michael McDowell,Fr8 Auctions  (Bob Jenkins),Ford,288,running,0,10,0
Darlington,28,31,77, Justin Haley,FOE Mother's Day  (Spire Motorsports),Chevrolet,288,running,0,0,0
Darlington,29,34,53, J.J. Yeley,Fat Boy Ice Cream  (Rick Ware),Chevrolet,286,running,0,0,0
Darlington,30,35,0, Quin Houff,Bos Klein / RCA  (StarCom Racing),Chevrolet,286,running,0,7,0
Darlington,31,36,15, James Davison,Hope Givers Throwback  (Rick Ware),Chevrolet,286,running,0,6,0
Darlington,32,32,78, B.J. McLeod,CorvetteParts.net / Keen Parts  (B.J. McLeod),Ford,285,running,0,0,0
Darlington,33,37,52, Josh Bilicki,Insurance King Throwback  (Rick Ware),Ford,245,running,0,4,0
Darlington,34,33,51, Cody Ware,Nurtec ODT Throwback  (Rick Ware),Chevrolet,188,driveshaft,1,0,0
Darlington,35,17,1, Kurt Busch,Monster Energy  (Chip Ganassi),Chevrolet,106,crash,0,2,0
Darlington,36,24,41, Cole Custer,HaasTooling.com Mother's Day  (Stewart Haas Racing),Ford,97,crash,0,1,0
Darlington,37,27,10, Aric Almirola,Smithfield / Winn-Dixie  (Stewart Haas Racing),Ford,5,crash,0,1,0
Dover,1,16,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,400,running,98,51,5
Dover,2,4,5, Kyle Larson,Nations Guard  (Rick Hendrick),Chevrolet,400,running,263,55,2
Dover,3,8,9, Chase Elliott,NAPA Auto Parts  (Rick Hendrick),Chevrolet,400,running,0,50,0
Dover,4,3,24, William Byron,Axalta  (Rick Hendrick),Chevrolet,400,running,21,45,0
Dover,5,9,22, Joey Logano,Shell / Pennzoil  (Roger Penske),Ford,400,running,0,36,0
Dover,6,5,4, Kevin Harvick,Hunt Brothers Pizza  (Stewart Haas Racing),Ford,400,running,0,42,0
Dover,7,2,11, Denny Hamlin,FedEx Office  (Joe Gibbs),Toyota,400,running,2,45,0
Dover,8,12,8, Tyler Reddick,CAT Linkage Parts  (Richard Childress),Chevrolet,400,running,0,30,0
Dover,9,24,99, Daniel Suarez,CommScope  (Trackhouse Racing),Chevrolet,400,running,0,28,0
Dover,10,30,41, Cole Custer,HaasTooling.com  (Stewart Haas Racing),Ford,400,running,0,27,0
Dover,11,22,23, Bubba Wallace,McDonald's  (23XI Racing),Toyota,400,running,0,26,0
Dover,12,7,12, Ryan Blaney,Menards / Cardell Cabinetry  (Roger Penske),Ford,400,running,0,33,0
Dover,13,28,1, Kurt Busch,Yorktel / Caregility  (Chip Ganassi),Chevrolet,400,running,0,28,0
Dover,14,14,3, Austin Dillon,Huk Performance Fishing  (Richard Childress),Chevrolet,400,running,0,25,0
Dover,15,19,42, Ross Chastain,Moose Fraternity  (Chip Ganassi),Chevrolet,400,running,0,22,0
Dover,16,15,2, Brad Keselowski,Wurth / UTI  (Roger Penske),Ford,400,running,0,25,0
Dover,17,10,17, Chris Buescher,Fastenal  (Jack Roush),Ford,400,running,0,22,0
Dover,18,25,37, Ryan Preece,Thomas' English Muffins  (JTG-Daugherty Racing),Chevrolet,399,running,0,19,0
Dover,19,1,19, Martin Truex Jr,Reser's Fine Foods  (Joe Gibbs),Toyota,399,running,16,18,0
Dover,20,20,47, Ricky Stenhouse Jr,Bush's Beans  (JTG-Daugherty Racing),Chevrolet,399,running,0,17,0
Dover,21,11,20, Christopher Bell,Stanley Tools  (Joe Gibbs),Toyota,396,running,0,16,0
Dover,22,23,43, Erik Jones,Medallion Bank  (Richard Petty Motorsports),Chevrolet,396,running,0,15,0
Dover,23,13,6, Ryan Newman,Guaranteed Rate  (Jack Roush),Ford,396,running,0,14,0
Dover,24,18,21, Matt DiBenedetto,Motorcraft / Quick Lane  (Wood Brothers),Ford,395,running,0,13,0
Dover,25,21,34, Michael McDowell,Resolve Finance  (Bob Jenkins),Ford,395,running,0,12,0
Dover,26,26,7, Corey LaJoie,Drydene Performance Products  (Spire Motorsports),Chevrolet,393,running,0,11,0
Dover,27,6,18, Kyle Busch,M&M's Mix  (Joe Gibbs),Toyota,393,running,0,10,0
Dover,28,27,38, Anthony Alfredo,Speedy Cash  (Bob Jenkins),Ford,392,running,0,9,0
Dover,29,35,0, Quin Houff,Reliant / Verkada  (StarCom Racing),Chevrolet,388,running,0,8,0
Dover,30,29,77, Josh Berry,Diamond Creek Water  (Spire Motorsports),Chevrolet,388,running,0,0,0
Dover,31,34,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,387,running,0,0,0
Dover,32,36,53, Garrett Smithley,RichMar Florists  (Rick Ware),Chevrolet,383,running,0,0,0
Dover,33,33,15, James Davison,Smart Sanitizer  (Rick Ware),Chevrolet,382,running,0,4,0
Dover,34,37,52, Josh Bilicki,Bullshooter.com  (Rick Ware),Ford,381,running,0,3,0
Dover,35,17,14, Chase Briscoe,Ford Performance Racing School  (Stewart Haas Racing),Ford,335,running,0,2,0
Dover,36,31,78, B.J. McLeod,Surface Sunscreen / Koolbox Ice  (B.J. McLeod),Ford,334,engine,0,0,0
Dover,37,32,10, Aric Almirola,Smithfield / Weis Markets  (Stewart Haas Racing),Ford,300,crash,0,1,0
Austin,1,8,9, Chase Elliott,Llumar  (Rick Hendrick),Chevrolet,54,running,5,49,5
Austin,2,2,5, Kyle Larson,Hendrickcars.com  (Rick Hendrick),Chevrolet,54,running,4,47,0
Austin,3,6,22, Joey Logano,Shell / Pennzoil  (Roger Penske),Ford,54,running,14,44,1
Austin,4,20,42, Ross Chastain,Clover  (Chip Ganassi),Chevrolet,54,running,4,36,0
Austin,5,7,16, A.J. Allmendinger,Hyperice  (Matthew Kaulig),Chevrolet,54,running,0,0,0
Austin,6,27,14, Chase Briscoe,HighPoint.com  (Stewart Haas Racing),Ford,54,running,0,37,0
Austin,7,23,34, Michael McDowell,Out West Express  (Bob Jenkins),Ford,54,running,3,39,0
Austin,8,12,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,54,running,3,30,0
Austin,9,1,8, Tyler Reddick,Cheddar's Scratch Kitchen  (Richard Childress),Chevrolet,54,running,0,36,0
Austin,10,4,18, Kyle Busch,M&M's Mix  (Joe Gibbs),Toyota,54,running,12,39,1
Austin,11,5,24, William Byron,Liberty University  (Rick Hendrick),Chevrolet,54,running,0,26,0
Austin,12,16,3, Austin Dillon,Workrise  (Richard Childress),Chevrolet,54,running,0,25,0
Austin,13,28,17, Chris Buescher,Auto Tempest  (Jack Roush),Ford,54,running,0,29,0
Austin,14,19,11, Denny Hamlin,FedEx Ground  (Joe Gibbs),Toyota,54,running,0,23,0
Austin,15,36,37, Ryan Preece,Louisiana Hot Sauce  (JTG-Daugherty Racing),Chevrolet,54,running,2,26,0
Austin,16,29,43, Erik Jones,Black Entrepreneur Initiative  (Richard Petty Motorsports),Chevrolet,54,running,0,21,0
Austin,17,9,12, Ryan Blaney,Body Armor  (Roger Penske),Ford,54,running,0,20,0
Austin,18,37,38, Anthony Alfredo,MDS  (Bob Jenkins),Ford,54,running,0,19,0
Austin,19,24,2, Brad Keselowski,Thomas Built Buses  (Roger Penske),Ford,54,running,0,18,0
Austin,20,25,7, Corey LaJoie,Schluter Systems  (Spire Motorsports),Chevrolet,54,running,0,23,0
Austin,21,33,96, Ty Dillon,Bass Pro Shops / Black Rifle Coffee  (Gaunt Brothers),Toyota,54,running,0,0,0
Austin,22,22,47, Ricky Stenhouse Jr,Kroger / Louisiana Hot Sauce  (JTG-Daugherty Racing),Chevrolet,54,running,0,15,0
Austin,23,21,21, Matt DiBenedetto,Menards / Quaker State  (Wood Brothers),Ford,54,running,0,15,0
Austin,24,34,6, Ryan Newman,Guaranteed Rate  (Jack Roush),Ford,54,running,0,13,0
Austin,25,3,33, Austin Cindric,Pirtek  (Roger Penske),Ford,54,running,4,0,0
Austin,26,26,10, Aric Almirola,Smithfield  (Stewart Haas Racing),Ford,54,running,0,11,0
Austin,27,13,1, Kurt Busch,Monster Energy  (Chip Ganassi),Chevrolet,54,running,0,18,0
Austin,28,38,53, Garrett Smithley,Jacob Companies  (Rick Ware),Ford,54,running,0,0,0
Austin,29,32,15, James Davison,Skip Barber Racing School  (Rick Ware),Chevrolet,54,running,0,8,0
Austin,30,31,52, Josh Bilicki,Junction Fuels  (Rick Ware),Ford,54,running,0,7,0
Austin,31,39,78, Kyle Tilley,Bremont / Battle Associates  (B.J. McLeod),Ford,54,running,0,6,0
Austin,32,35,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,53,running,0,0,0
Austin,33,15,99, Daniel Suarez,ONX Homes / iFly  (Trackhouse Racing),Chevrolet,46,running,0,4,0
Austin,34,40,0, Quin Houff,Mane 'n Tail / Spirit Untamed  (StarCom Racing),Chevrolet,38,dvp,0,3,0
Austin,35,17,19, Martin Truex Jr,Bass Pro Shops  (Joe Gibbs),Toyota,24,crash,3,2,0
Austin,36,14,41, Cole Custer,HaasTooling.com  (Stewart Haas Racing),Ford,24,crash,0,1,0
Austin,37,11,4, Kevin Harvick,Mobil1Thousand.com  (Stewart Haas Racing),Ford,19,crash,0,1,0
Austin,38,10,20, Christopher Bell,Craftsman  (Joe Gibbs),Toyota,18,crash,0,1,0
Austin,39,18,23, Bubba Wallace,Door Dash  (23XI Racing),Toyota,18,crash,0,1,0
