Track,EndingPosition,StartingPosition,CarNumber,Driver,Sponsor,Owner,CarManufacturer,TrackType,Length
Daytona,1,21,11,DennyHamlin,FedExExpress,JoeGibbs,Toyota,SuperSpeedway,523
Daytona,2,27,12,RyanBlaney,Menards/Peak,RogerPenske,Ford,SuperSpeedway,523
Daytona,3,19,17,ChrisBuescher,DeWalt/Fastenal,JackRoush,Ford,SuperSpeedway,523
Daytona,4,30,36,DavidRagan,SelectBlinds,RickWare,Ford,SuperSpeedway,523
Daytona,5,10,4,KevinHarvick,BuschLight#PIT4BUSCH,StewartHaasRacing,Ford,SuperSpeedway,523
Daytona,6,29,14,ClintBowyer,RushTruckCenters/Mobil1,StewartHaasRacing,Ford,SuperSpeedway,523
Daytona,7,39,62,BrendanGaughan,BeardOil/SouthPointHotel&Casino,BeardMotorsports,Chevrolet,SuperSpeedway,523
Daytona,8,36,32,CoreyLaJoie,RagingBull.com,ArchieSt.Hilaire,Ford,SuperSpeedway,523
Daytona,9,7,6,RyanNewman,KochIndustries,JackRoush,Ford,SuperSpeedway,523
Daytona,10,8,42,KyleLarson,CreditOneBank,ChipGanassi,Chevrolet,SuperSpeedway,523
Daytona,11,23,38,JohnH.Nemechek,Citgard,BobJenkins,Ford,SuperSpeedway,523
Daytona,12,13,3,AustinDillon,BassProShops/TrackerOffRoad,RichardChildress,Chevrolet,SuperSpeedway,523
Daytona,13,33,16,JustinHaley,FraternalOrderofEagles,MatthewKaulig,Chevrolet,SuperSpeedway,523
Daytona,14,26,34,MichaelMcDowell,Love'sTravelStops/Speedco,BobJenkins,Ford,SuperSpeedway,523
Daytona,15,11,43,BubbaWallace,U.S.AirForce,RichardPettyMotorsports,Chevrolet,SuperSpeedway,523
Daytona,16,34,15,BrennanPoole,SpartanGo/SpartanMosquito,JayRobinson,Chevrolet,SuperSpeedway,523
Daytona,17,25,9,ChaseElliott,NAPAAutoParts,RickHendrick,Chevrolet,SuperSpeedway,523
Daytona,18,14,20,ErikJones,DeWalt,JoeGibbs,Toyota,SuperSpeedway,523
Daytona,19,16,21,MattDiBenedetto,Motorcraft/QuickLane,WoodBrothers,Ford,SuperSpeedway,523
Daytona,20,1,47,RickyStenhouseJr,Kroger/Velveeta/Cheerios,JTG-DaughertyRacing,Chevrolet,SuperSpeedway,523
Daytona,21,17,95,ChristopherBell,Procore,LeavineFamilyRacing,Toyota,SuperSpeedway,523
Daytona,22,5,10,AricAlmirola,Smithfield,StewartHaasRacing,Ford,SuperSpeedway,523
Daytona,23,37,51,JoeyGase,EFXCorp./PageKC.com,RickWare,Chevrolet,SuperSpeedway,523
Daytona,24,2,88,AlexBowman,Valvoline,RickHendrick,Chevrolet,SuperSpeedway,523
Daytona,25,20,77,RossChastain,AdventHealth,SpireMotorsports,Chevrolet,SuperSpeedway,523
Daytona,26,3,22,JoeyLogano,Shell/Pennzoil,RogerPenske,Ford,SuperSpeedway,523
Daytona,27,32,66,TimmyHill,RoofClaim.com/VSIRacing,CarlLong,Ford,SuperSpeedway,523
Daytona,28,22,8,TylerReddick,Caterpillar,RichardChildress,Chevrolet,SuperSpeedway,523
Daytona,29,31,37,RyanPreece,Cottonelle,JTG-DaughertyRacing,Chevrolet,SuperSpeedway,523
Daytona,30,24,13,TyDillon,GEICO,GermainRacing,Chevrolet,SuperSpeedway,523
Daytona,31,40,27,ReedSorenson,PremiumMotorsports,JayRobinson,Chevrolet,SuperSpeedway,523
Daytona,32,15,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs,JoeGibbs,Toyota,SuperSpeedway,523
Daytona,33,18,1,KurtBusch,MonsterEnergy,ChipGanassi,Chevrolet,SuperSpeedway,523
Daytona,34,28,18,KyleBusch,M&M's,JoeGibbs,Toyota,SuperSpeedway,523
Daytona,35,6,48,JimmieJohnson,Ally,RickHendrick,Chevrolet,SuperSpeedway,523
Daytona,36,9,2,BradKeselowski,DiscountTire,RogerPenske,Ford,SuperSpeedway,523
Daytona,37,12,41,ColeCuster,HaasAutomation,StewartHaasRacing,Ford,SuperSpeedway,523
Daytona,38,38,52,B.J.McLeod,ChristensenArms,RickWare,Ford,SuperSpeedway,523
Daytona,39,35,0,QuinHouff,JacobConstruction,StarComRacing,Chevrolet,SuperSpeedway,523
Daytona,40,4,24,WilliamByron,"Axalta""ColoroftheYear""",RickHendrick,Chevrolet,SuperSpeedway,523
LasVegas,1,5,22,JoeyLogano,Pennzoil,RogerPenske,Ford,Oval,401
LasVegas,2,19,21,MattDiBenedetto,Motorcraft/QuickLane,WoodBrothers,Ford,Oval,401
LasVegas,3,26,47,RickyStenhouseJr,Kroger/Cheerios/HealthyChoice,JTG-DaughertyRacing,Chevrolet,Oval,401
LasVegas,4,21,3,AustinDillon,BassProShops/TrackerOffRoad,RichardChildress,Chevrolet,Oval,401
LasVegas,5,18,48,JimmieJohnson,Ally,RickHendrick,Chevrolet,Oval,401
LasVegas,6,27,43,BubbaWallace,Coca-ColaEnergy,RichardPettyMotorsports,Chevrolet,Oval,401
LasVegas,7,8,2,BradKeselowski,DiscountTire,RogerPenske,Ford,Oval,401
LasVegas,8,3,4,KevinHarvick,BuschLight,StewartHaasRacing,Ford,Oval,401
LasVegas,9,6,42,KyleLarson,CreditOneBank,ChipGanassi,Chevrolet,Oval,401
LasVegas,10,24,13,TyDillon,GEICO,GermainRacing,Chevrolet,Oval,401
LasVegas,11,7,12,RyanBlaney,Menards/Pennzoil,RogerPenske,Ford,Oval,401
LasVegas,12,9,14,ClintBowyer,BlueDEF,StewartHaasRacing,Ford,Oval,401
LasVegas,13,12,88,AlexBowman,Llumar,RickHendrick,Chevrolet,Oval,401
LasVegas,14,23,17,ChrisBuescher,Fastenal/3M,JackRoush,Ford,Oval,401
LasVegas,15,1,18,KyleBusch,SnickersWhite,JoeGibbs,Toyota,Oval,401
LasVegas,16,30,32,CoreyLaJoie,SchluterSystems,ArchieSt.Hilaire,Ford,Oval,401
LasVegas,17,4,11,DennyHamlin,FedExGround,JoeGibbs,Toyota,Oval,401
LasVegas,18,25,8,TylerReddick,TametheBeast,RichardChildress,Chevrolet,Oval,401
LasVegas,19,17,41,ColeCuster,ProductionAllianceGroup/Haas,StewartHaasRacing,Ford,Oval,401
LasVegas,20,2,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs,JoeGibbs,Toyota,Oval,401
LasVegas,21,14,10,AricAlmirola,Smithfield,StewartHaasRacing,Ford,Oval,401
LasVegas,22,11,24,WilliamByron,Axalta,RickHendrick,Chevrolet,Oval,401
LasVegas,23,16,20,ErikJones,IrwinSPEEDBOR,JoeGibbs,Toyota,Oval,401
LasVegas,24,29,38,JohnH.Nemechek,Berry'sBullets,BobJenkins,Ford,Oval,401
LasVegas,25,13,1,KurtBusch,MonsterEnergy,ChipGanassi,Chevrolet,Oval,401
LasVegas,26,10,9,ChaseElliott,NAPAAutoParts,RickHendrick,Chevrolet,Oval,401
LasVegas,27,15,6,RossChastain,WyndhamRewards,JackRoush,Ford,Oval,401
LasVegas,28,37,52,J.J.Yeley,JacobCompanies,RickWare,Ford,Oval,401
LasVegas,29,33,15,BrennanPoole,GoettlAirConditioning&Plumbing,JayRobinson,Chevrolet,Oval,401
LasVegas,30,35,96,DanielSuarez,ToyotaCertifiedUsedVehicles,GauntBrothers,Toyota,Oval,401
LasVegas,31,31,53,JoeyGase,NevadaDonorNetwork,RickWare,Ford,Oval,401
LasVegas,32,32,0,QuinHouff,VictoryWeekend,StarComRacing,Chevrolet,Oval,401
LasVegas,33,22,95,ChristopherBell,Rheem/Procore/RTP,LeavineFamilyRacing,Toyota,Oval,401
LasVegas,34,36,77,ReedSorenson,SpireMotorsports,SpireMotorsports,Chevrolet,Oval,401
LasVegas,35,34,51,GarrettSmithley,RickWareRacing,RickWare,Chevrolet,Oval,401
LasVegas,36,28,34,MichaelMcDowell,Love'sTravelStops/Speedco,BobJenkins,Ford,Oval,401
LasVegas,37,20,37,RyanPreece,NaturalLightSeltzer,JTG-DaughertyRacing,Chevrolet,Oval,401
LasVegas,38,38,66,TimmyHill,Manscaped/LasVegas.net,CarlLong,Toyota,Oval,401
Fontana,1,3,88,AlexBowman,Cincinnati,RickHendrick,Chevrolet,Oval,400
Fontana,2,17,18,KyleBusch,InterstateBatteries,JoeGibbs,Toyota,Oval,400
Fontana,3,4,1,KurtBusch,MonsterEnergy,ChipGanassi,Chevrolet,Oval,400
Fontana,4,13,9,ChaseElliott,NAPAAutoParts,RickHendrick,Chevrolet,Oval,400
Fontana,5,15,2,BradKeselowski,DiscountTire/America'sTire,RogerPenske,Ford,Oval,400
Fontana,6,28,11,DennyHamlin,FedExOffice,JoeGibbs,Toyota,Oval,400
Fontana,7,2,48,JimmieJohnson,Ally,RickHendrick,Chevrolet,Oval,400
Fontana,8,6,10,AricAlmirola,Smithfield,StewartHaasRacing,Ford,Oval,400
Fontana,9,5,4,KevinHarvick,Mobil1,StewartHaasRacing,Ford,Oval,400
Fontana,10,29,20,ErikJones,Reser'sFineFoods,JoeGibbs,Toyota,Oval,400
Fontana,11,19,8,TylerReddick,IAmSecond,RichardChildress,Chevrolet,Oval,400
Fontana,12,7,22,JoeyLogano,AAASouthernCalifornia,RogerPenske,Ford,Oval,400
Fontana,13,12,21,MattDiBenedetto,Menards/QuakerState,WoodBrothers,Ford,Oval,400
Fontana,14,38,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs,JoeGibbs,Toyota,Oval,400
Fontana,15,21,24,WilliamByron,AxaltaKobeBryantTribute,RickHendrick,Chevrolet,Oval,400
Fontana,16,11,17,ChrisBuescher,Fastenal/Wypall,JackRoush,Ford,Oval,400
Fontana,17,27,6,RossChastain,Castrol,JackRoush,Ford,Oval,400
Fontana,18,18,41,ColeCuster,Haas/ProductionAllianceGroup,StewartHaasRacing,Ford,Oval,400
Fontana,19,16,12,RyanBlaney,BodyArmorKobeBryantTribute,RogerPenske,Ford,Oval,400
Fontana,20,10,47,RickyStenhouseJr,Kroger/Cheerios/HealthyChoice,JTG-DaughertyRacing,Chevrolet,Oval,400
Fontana,21,9,42,KyleLarson,McDonald's,ChipGanassi,Chevrolet,Oval,400
Fontana,22,8,34,MichaelMcDowell,Love'sTravelStops/Speedco,BobJenkins,Ford,Oval,400
Fontana,23,1,14,ClintBowyer,RushTruckCenters/HaasCNC,StewartHaasRacing,Ford,Oval,400
Fontana,24,25,3,AustinDillon,DowCoatings/Kilz,RichardChildress,Chevrolet,Oval,400
Fontana,25,23,38,JohnH.Nemechek,FireAlarmServices,BobJenkins,Ford,Oval,400
Fontana,26,24,13,TyDillon,GEICO,GermainRacing,Chevrolet,Oval,400
Fontana,27,14,43,BubbaWallace,VictoryJunction,RichardPettyMotorsports,Chevrolet,Oval,400
Fontana,28,31,96,DanielSuarez,ToyotaCertifiedUsedVehicles,GauntBrothers,Toyota,Oval,400
Fontana,29,26,32,CoreyLaJoie,PalaCasino,ArchieSt.Hilaire,Ford,Oval,400
Fontana,30,20,37,RyanPreece,Cottonelle,JTG-DaughertyRacing,Chevrolet,Oval,400
Fontana,31,30,52,J.J.Yeley,JacobCompanies,RickWare,Ford,Oval,400
Fontana,32,32,15,BrennanPoole,ChocKids,JayRobinson,Chevrolet,Oval,400
Fontana,33,34,53,JoeyGase,OneLegacy,RickWare,Ford,Oval,400
Fontana,34,36,51,GarrettSmithley,RickWareRacing,RickWare,Chevrolet,Oval,400
Fontana,35,35,0,QuinHouff,VictoryWeekend,StarComRacing,Chevrolet,Oval,400
Fontana,36,33,77,ReedSorenson,SpireMotorsports,SpireMotorsports,Chevrolet,Oval,400
Fontana,37,37,66,TimmyHill,Manscaped/LasVegas.net,CarlLong,Toyota,Oval,400
Fontana,38,22,95,ChristopherBell,Rheem/Procore,LeavineFamilyRacing,Toyota,Oval,400
Phoenix,1,13,22,JoeyLogano,Shell/Pennzoil,RogerPenske,Ford,Oval,316
Phoenix,2,2,4,KevinHarvick,JimmyJohn'sFreakyFastRewards,StewartHaasRacing,Ford,Oval,316
Phoenix,3,10,18,KyleBusch,SportClips,JoeGibbs,Toyota,Oval,316
Phoenix,4,4,42,KyleLarson,McDonald's,ChipGanassi,Chevrolet,Oval,316
Phoenix,5,18,14,ClintBowyer,Mobil1/HaasCNC,StewartHaasRacing,Ford,Oval,316
Phoenix,6,7,1,KurtBusch,GearWrench,ChipGanassi,Chevrolet,Oval,316
Phoenix,7,1,9,ChaseElliott,Unifirst,RickHendrick,Chevrolet,Oval,316
Phoenix,8,6,10,AricAlmirola,Smithfield,StewartHaasRacing,Ford,Oval,316
Phoenix,9,16,41,ColeCuster,HaasAutomation,StewartHaasRacing,Ford,Oval,316
Phoenix,10,17,24,WilliamByron,Hertz,RickHendrick,Chevrolet,Oval,316
Phoenix,11,14,2,BradKeselowski,AllianceParts,RogerPenske,Ford,Oval,316
Phoenix,12,21,48,JimmieJohnson,Ally,RickHendrick,Chevrolet,Oval,316
Phoenix,13,9,21,MattDiBenedetto,Motorcraft/QuickLane,WoodBrothers,Ford,Oval,316
Phoenix,14,8,88,AlexBowman,Axalta,RickHendrick,Chevrolet,Oval,316
Phoenix,15,25,13,TyDillon,GEICO,GermainRacing,Chevrolet,Oval,316
Phoenix,16,22,34,MichaelMcDowell,Love'sTravelStops/Speedco,BobJenkins,Ford,Oval,316
Phoenix,17,23,17,ChrisBuescher,SunnyD,JackRoush,Ford,Oval,316
Phoenix,18,20,37,RyanPreece,Velveeta,JTG-DaughertyRacing,Chevrolet,Oval,316
Phoenix,19,27,43,BubbaWallace,WorldWideTechnology,RichardPettyMotorsports,Chevrolet,Oval,316
Phoenix,20,3,11,DennyHamlin,FedExFreight,JoeGibbs,Toyota,Oval,316
Phoenix,21,31,96,DanielSuarez,CommScope,GauntBrothers,Toyota,Oval,316
Phoenix,22,19,47,RickyStenhouseJr,Kroger/NatureValley/HealthyChoice,JTG-DaughertyRacing,Chevrolet,Oval,316
Phoenix,23,24,6,RossChastain,OscarMayer,JackRoush,Ford,Oval,316
Phoenix,24,15,95,ChristopherBell,Procore,LeavineFamilyRacing,Toyota,Oval,316
Phoenix,25,26,38,JohnH.Nemechek,MDSTransport,BobJenkins,Ford,Oval,316
Phoenix,26,33,52,J.J.Yeley,WindowWorld,RickWare,Ford,Oval,316
Phoenix,27,28,32,CoreyLaJoie,MotorTrend,ArchieSt.Hilaire,Ford,Oval,316
Phoenix,28,11,20,ErikJones,InterstateBatteries,JoeGibbs,Toyota,Oval,316
Phoenix,29,37,53,JoeyGase,RickWareRacing,RickWare,Chevrolet,Oval,316
Phoenix,30,35,77,ReedSorenson,SpireMotorsports,SpireMotorsports,Chevrolet,Oval,316
Phoenix,31,32,15,BrennanPoole,GoettlAirConditioning&Plumbing,JayRobinson,Chevrolet,Oval,316
Phoenix,32,12,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs,JoeGibbs,Toyota,Oval,316
Phoenix,33,29,8,TylerReddick,IAmSecond,RichardChildress,Chevrolet,Oval,316
Phoenix,34,34,0,QuinHouff,Mount-N-Lock/AshurstHoney,StarComRacing,Chevrolet,Oval,316
Phoenix,35,36,51,GarrettSmithley,JacobConstruction,RickWare,Chevrolet,Oval,316
Phoenix,36,30,3,AustinDillon,BassProShops/TrackerOffRoad,RichardChildress,Chevrolet,Oval,316
Phoenix,37,5,12,RyanBlaney,Menards/Tarkett,RogerPenske,Ford,Oval,316
Phoenix,38,38,66,TimmyHill,PitBossGrills,CarlLong,Toyota,Oval,316
Darlington,1,6,4,KevinHarvick,BuschLight#YOURFACEHERE,StewartHaasRacing,Ford,Oval,400
Darlington,2,2,88,AlexBowman,ChevyGoods.com/NOCO,RickHendrick,Chevrolet,Oval,400
Darlington,3,22,1,KurtBusch,MonsterEnergy,ChipGanassi,Chevrolet,Oval,400
Darlington,4,11,9,ChaseElliott,NAPAAutoParts,RickHendrick,Chevrolet,Oval,400
Darlington,5,10,11,DennyHamlin,ThankYouFedExTeamMembers,JoeGibbs,Toyota,Oval,400
Darlington,6,15,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs,JoeGibbs,Toyota,Oval,400
Darlington,7,29,8,TylerReddick,"Caterpillar""ThankYou""",RichardChildress,Chevrolet,Oval,400
Darlington,8,20,20,ErikJones,"DeWaltAtomic""ThankYou""",JoeGibbs,Toyota,Oval,400
Darlington,9,34,38,JohnH.Nemechek,ScagPowerEquipment,BobJenkins,Ford,Oval,400
Darlington,10,12,42,MattKenseth,CreditOneBank,ChipGanassi,Chevrolet,Oval,400
Darlington,11,16,3,AustinDillon,Symbicort,RichardChildress,Chevrolet,Oval,400
Darlington,12,5,10,AricAlmirola,Smithfield#GoodFoodChallenge,StewartHaasRacing,Ford,Oval,400
Darlington,13,1,2,BradKeselowski,DiscountTire,RogerPenske,Ford,Oval,400
Darlington,14,3,21,MattDiBenedetto,Motorcraft/QuickLaneTire&AutoCenter,WoodBrothers,Ford,Oval,400
Darlington,15,21,6,RyanNewman,OscarMayer#FrontYardCookout,JackRoush,Ford,Oval,400
Darlington,16,7,12,RyanBlaney,Menards/DuracellOptimum,RogerPenske,Ford,Oval,400
Darlington,17,13,14,ClintBowyer,RushTrucking/Mobil1,StewartHaasRacing,Ford,Oval,400
Darlington,18,9,22,JoeyLogano,Shell/Pennzoil,RogerPenske,Ford,Oval,400
Darlington,19,33,13,TyDillon,GEICO,GermainRacing,Chevrolet,Oval,400
Darlington,20,25,37,RyanPreece,Cottonelle,JTG-DaughertyRacing,Chevrolet,Oval,400
Darlington,21,17,43,BubbaWallace,WorldWideTechnology,RichardPettyMotorsports,Chevrolet,Oval,400
Darlington,22,14,41,ColeCuster,HaasTooling.com,StewartHaasRacing,Ford,Oval,400
Darlington,23,31,34,MichaelMcDowell,CarParts.com,BobJenkins,Ford,Oval,400
Darlington,24,28,95,ChristopherBell,Rheem/Procore,LeavineFamilyRacing,Toyota,Oval,400
Darlington,25,37,96,DanielSuarez,Today.Tomorrow.Toyota.,GauntBrothers,Toyota,Oval,400
Darlington,26,4,18,KyleBusch,"M&M's""ThankYouHeroes""",JoeGibbs,Toyota,Oval,400
Darlington,27,35,15,BrennanPoole,SpartanMosquitoProTech,RickWare,Chevrolet,Oval,400
Darlington,28,30,27,J.J.Yeley,JacobConstruction,RickWare,Ford,Oval,400
Darlington,29,36,77,ReedSorenson,GreenvilleSwampRabbits/BonSecours,SpireMotorsports,Chevrolet,Oval,400
Darlington,30,32,51,JoeyGase,AgriSupply,RickWare,Ford,Oval,400
Darlington,31,19,32,CoreyLaJoie,Drydene,ArchieSt.Hilaire,Ford,Oval,400
Darlington,32,24,17,ChrisBuescher,Fastenal/Milwaukee,JackRoush,Ford,Oval,400
Darlington,33,38,66,TimmyHill,RoofClaim.com,CarlLong,Toyota,Oval,400
Darlington,34,40,7,JoshBilicki,Gravely,"TommyBaldwin,Jr.",Chevrolet,Oval,400
Darlington,35,18,24,WilliamByron,Axalta,RickHendrick,Chevrolet,Oval,400
Darlington,36,27,0,QuinHouff,Units,StarComRacing,Chevrolet,Oval,400
Darlington,37,26,53,GarrettSmithley,TrophyTractor,RickWare,Chevrolet,Oval,400
Darlington,38,8,48,JimmieJohnson,Ally,RickHendrick,Chevrolet,Oval,400
Darlington,39,39,78,B.J.McLeod,ChristensenArms,B.J.McLeod,Chevrolet,Oval,400
Darlington,40,23,47,RickyStenhouseJr,Kroger/NatureValley/HealthyChoice,JTG-DaughertyRacing,Chevrolet,Oval,400
Darlington,1,16,11,DennyHamlin,"FedEx""DeliveringStrength""",JoeGibbs,Toyota,Oval,284
Darlington,2,26,18,KyleBusch,M&M'sFudgeBrownie,JoeGibbs,Toyota,Oval,284
Darlington,3,20,4,KevinHarvick,Mobil1,StewartHaasRacing,Ford,Oval,284
Darlington,4,8,2,BradKeselowski,Pirtek,RogerPenske,Ford,Oval,284
Darlington,5,13,20,ErikJones,StanleyTools,JoeGibbs,Toyota,Oval,284
Darlington,6,3,22,JoeyLogano,Shell/Pennzoil,RogerPenske,Ford,Oval,284
Darlington,7,9,10,AricAlmirola,Smithfield#GoodFoodChallenge,StewartHaasRacing,Ford,Oval,284
Darlington,8,37,48,JimmieJohnson,Ally,RickHendrick,Chevrolet,Oval,284
Darlington,9,7,21,MattDiBenedetto,Motorcraft/QuickLane,WoodBrothers,Ford,Oval,284
Darlington,10,15,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs,JoeGibbs,Toyota,Oval,284
Darlington,11,24,95,ChristopherBell,Procore,LeavineFamilyRacing,Toyota,Oval,284
Darlington,12,34,24,WilliamByron,Axalta,RickHendrick,Chevrolet,Oval,284
Darlington,13,14,8,TylerReddick,"Caterpillar""ThankYou""",RichardChildress,Chevrolet,Oval,284
Darlington,14,6,6,RyanNewman,OscarMayerHotDogs,JackRoush,Ford,Oval,284
Darlington,15,18,1,KurtBusch,MonsterEnergy,ChipGanassi,Chevrolet,Oval,284
Darlington,16,21,43,BubbaWallace,VictoryJunction,RichardPettyMotorsports,Chevrolet,Oval,284
Darlington,17,23,34,MichaelMcDowell,CarParts.com,BobJenkins,Ford,Oval,284
Darlington,18,19,88,AlexBowman,ChevyGoods.com/NOCO,RickHendrick,Chevrolet,Oval,284
Darlington,19,2,13,TyDillon,"GEICO""HumpDay""",GermainRacing,Chevrolet,Oval,284
Darlington,20,10,3,AustinDillon,Dow/KeepAmericaBeautiful,RichardChildress,Chevrolet,Oval,284
Darlington,21,5,12,RyanBlaney,Menards/Moen,RogerPenske,Ford,Oval,284
Darlington,22,4,14,ClintBowyer,Rush/MobilDelvac1,StewartHaasRacing,Ford,Oval,284
Darlington,23,32,17,ChrisBuescher,FifthThirdBank,JackRoush,Ford,Oval,284
Darlington,24,31,32,CoreyLaJoie,"KeenParts""ThankaHero""",ArchieSt.Hilaire,Ford,Oval,284
Darlington,25,39,47,RickyStenhouseJr,Kroger/NatureValley/Hershey's,JTG-DaughertyRacing,Chevrolet,Oval,284
Darlington,26,35,0,QuinHouff,GoodGreekMoving&Storage,StarComRacing,Chevrolet,Oval,284
Darlington,27,25,96,DanielSuarez,Today.Tomorrow.Toyota.,GauntBrothers,Toyota,Oval,284
Darlington,28,29,77,J.J.Yeley,BonSecours#TheRealHeroes,SpireMotorsports,Chevrolet,Oval,284
Darlington,29,30,51,JoeyGase,AgriSupply,RickWare,Ford,Oval,284
Darlington,30,11,42,MattKenseth,CreditOneBank,ChipGanassi,Chevrolet,Oval,284
Darlington,31,22,41,ColeCuster,HaasTooling.com,StewartHaasRacing,Ford,Oval,284
Darlington,32,28,27,GrayGaulding,PaniniAmerica,RickWare,Ford,Oval,284
Darlington,33,33,66,TimmyHill,RoofClaim.com,CarlLong,Toyota,Oval,284
Darlington,34,36,53,GarrettSmithley,TrophyTractor,RickWare,Chevrolet,Oval,284
Darlington,35,12,38,JohnH.Nemechek,ScagPowerEquipment,BobJenkins,Ford,Oval,284
Darlington,36,38,78,B.J.McLeod,ChristensenArms,B.J.McLeod,Chevrolet,Oval,284
Darlington,37,27,15,BrennanPoole,SpartanMosquitoProTech,RickWare,Chevrolet,Oval,284
Darlington,38,17,9,ChaseElliott,NAPAAutoParts,RickHendrick,Chevrolet,Oval,284
Darlington,39,1,37,RyanPreece,NewTidePowerPods,JTG-DaughertyRacing,Chevrolet,Oval,284
Charlotte,1,9,2,BradKeselowski,MillerLiteStars&Stripes,RogerPenske,Ford,Oval,608
Charlotte,2,3,9,ChaseElliott,NAPAAutoParts,RickHendrick,Chevrolet,Oval,608
Charlotte,3,26,12,RyanBlaney,DexImaging,RogerPenske,Ford,Oval,608
Charlotte,4,11,18,KyleBusch,"M&M'sRed,White&Blue",JoeGibbs,Toyota,Oval,608
Charlotte,5,22,4,KevinHarvick,BuschLight,StewartHaasRacing,Ford,Oval,608
Charlotte,6,8,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs/USO,JoeGibbs,Toyota,Oval,608
Charlotte,7,1,1,KurtBusch,GearWrench,ChipGanassi,Chevrolet,Oval,608
Charlotte,8,5,8,TylerReddick,AlscoUniformsPatriotic,RichardChildress,Chevrolet,Oval,608
Charlotte,9,15,95,ChristopherBell,Rheem/Procore,LeavineFamilyRacing,Toyota,Oval,608
Charlotte,10,19,17,ChrisBuescher,FifthThirdBank,JackRoush,Ford,Oval,608
Charlotte,11,14,20,ErikJones,DeWaltAtomicThankYou,JoeGibbs,Toyota,Oval,608
Charlotte,12,28,41,ColeCuster,HaasTooling.com,StewartHaasRacing,Ford,Oval,608
Charlotte,13,7,22,JoeyLogano,Shell/Pennzoil,RogerPenske,Ford,Oval,608
Charlotte,14,6,3,AustinDillon,"Coca-Cola""SalutetoAmerica'sHeroes""",RichardChildress,Chevrolet,Oval,608
Charlotte,15,40,10,AricAlmirola,SmithfieldPatriotic,StewartHaasRacing,Ford,Oval,608
Charlotte,16,25,38,JohnH.Nemechek,Yanmar,BobJenkins,Ford,Oval,608
Charlotte,17,33,21,MattDiBenedetto,Menards/FVP,WoodBrothers,Ford,Oval,608
Charlotte,18,27,34,MichaelMcDowell,Love's/SpecialForcesCharitableTrust,BobJenkins,Ford,Oval,608
Charlotte,19,12,88,AlexBowman,ChevyGoods.com/NOCOPatriotic,RickHendrick,Chevrolet,Oval,608
Charlotte,20,10,24,WilliamByron,LibertyUniversityPatriotic,RickHendrick,Chevrolet,Oval,608
Charlotte,21,21,77,RossChastain,"AdventHealth""ThankYouTeamMembers""",SpireMotorsports,Chevrolet,Oval,608
Charlotte,22,29,37,RyanPreece,ScottProductsPatriotic,JTG-DaughertyRacing,Chevrolet,Oval,608
Charlotte,23,24,32,CoreyLaJoie,ARK.io,ArchieSt.Hilaire,Ford,Oval,608
Charlotte,24,17,47,RickyStenhouseJr,Kroger/Purina/Bush'sBeans,JTG-DaughertyRacing,Chevrolet,Oval,608
Charlotte,25,16,13,TyDillon,GEICOMilitary,GermainRacing,Chevrolet,Oval,608
Charlotte,26,4,42,MattKenseth,McDonald'sMcDelivery,ChipGanassi,Chevrolet,Oval,608
Charlotte,27,18,6,RyanNewman,Roman,JackRoush,Ford,Oval,608
Charlotte,28,37,96,DanielSuarez,Today.Tomorrow.ToyotaPatriotic,GauntBrothers,Toyota,Oval,608
Charlotte,29,13,11,DennyHamlin,FedEx#SupportSmall,JoeGibbs,Toyota,Oval,608
Charlotte,30,35,15,BrennanPoole,InMemoryofSFCNathanChapman,RickWare,Chevrolet,Oval,608
Charlotte,31,31,27,GrayGaulding,PaniniAmerica,RickWare,Ford,Oval,608
Charlotte,32,36,78,B.J.McLeod,CircleTrackWarehouseAuction,B.J.McLeod,Ford,Oval,608
Charlotte,33,38,53,GarrettSmithley,VictoryLaneQuickOilChange,RickWare,Chevrolet,Oval,608
Charlotte,34,32,66,TimmyHill,RoofClaim.com,CarlLong,Toyota,Oval,608
Charlotte,35,30,0,QuinHouff,GoodGreekMovers,StarComRacing,Chevrolet,Oval,608
Charlotte,36,39,51,JoeyGase,ASC/CarolinaCoolerPatriotic,RickWare,Ford,Oval,608
Charlotte,37,34,7,J.J.Yeley,VCP,"TommyBaldwin,Jr.",Chevrolet,Oval,608
Charlotte,38,23,43,BubbaWallace,U.S.AirForce,RichardPettyMotorsports,Chevrolet,Oval,608
Charlotte,39,20,14,ClintBowyer,Rush/MobilDelvac1,StewartHaasRacing,Ford,Oval,608
Charlotte,40,2,48,JimmieJohnson,AllyPatriotic,RickHendrick,Chevrolet,Oval,608
Charlotte,1,19,9,ChaseElliott,KelleyBlueBook,RickHendrick,Chevrolet,Oval,312
Charlotte,2,29,11,DennyHamlin,FedEx#SupportSmall,JoeGibbs,Toyota,Oval,312
Charlotte,3,18,12,RyanBlaney,BodyArmor,RogerPenske,Ford,Oval,312
