RaceNumber,Track,Pos,Start,Car Number,Owner,Sponsor / Owner,Manufact,Laps,Status,Led,Pts,Playoff Points,Track Type
11,Dover,10,23,48,   Josh Berry,Ally   (Rick Hendrick),Chevrolet,400,running,3,0,0,Oval
11,Dover,11,10,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,400,running,0,28,0,Oval
11,Dover,12,28,23,   Bubba Wallace,McDonald's   (23XI Racing),Toyota,400,running,0,25,0,Oval
11,Dover,13,24,54,   Ty Gibbs,He Gets Us   (Joe Gibbs),Toyota,399,running,0,29,0,Oval
11,Dover,14,27,7,   Corey LaJoie,FOE   (Spire Motorsports),Chevrolet,399,running,0,23,0,Oval
11,Dover,15,9,47,   Ricky Stenhouse Jr,Kroger/Icy Hot Pro   (JTG-Daugherty Racing),Chevrolet,399,running,0,23,0,Oval
11,Dover,16,11,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,399,running,0,21,0,Oval
11,Dover,17,30,41,   Ryan Preece,Mohawk Northeast   (Stewart Haas Racing),Ford,399,running,0,20,0,Oval
11,Dover,18,29,16,   A.J. Allmendinger,Nutrien Ag Solutions   (Matthew Kaulig),Chevrolet,399,running,0,19,0,Oval
11,Dover,19,12,4,   Kevin Harvick,Hunt Brothers Pizza / Realtree   (Stewart Haas Racing),Ford,399,running,0,21,0,Oval
11,Dover,20,31,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,398,running,0,17,0,Oval
11,Dover,21,1,8,   Kyle Busch,Lenovo   (Richard Childress),Chevrolet,397,running,25,16,0,Oval
11,Dover,22,32,34,   Michael McDowell,A&W Root Beer Float   (Bob Jenkins),Ford,397,running,0,15,0,Oval
11,Dover,23,25,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,397,running,0,14,0,Oval
11,Dover,24,19,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,397,running,0,13,0,Oval
11,Dover,25,35,38,   Todd Gilliland,Speedy Cash   (Bob Jenkins),Ford,396,running,0,12,0,Oval
11,Dover,26,20,2,   Austin Cindric,MenardsGreat Stuff   (Roger Penske),Ford,396,running,0,11,0,Oval
11,Dover,27,36,3,   Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,395,running,0,10,0,Oval
11,Dover,28,21,51,   J.J. Yeley,Biohaven/Jacob Co.   (Rick Ware),Ford,393,running,0,0,0,Oval
11,Dover,29,22,78,   B.J. McLeod,CAMDEN MEDICAL CENTER   (B.J. McLeod),Chevrolet,381,running,0,8,0,Oval
11,Dover,30,6,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,378,running,0,7,0,Oval
11,Dover,31,26,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,375,crash,0,6,0,Oval
11,Dover,32,18,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,359,running,0,5,0,Oval
11,Dover,33,34,15,   Brennan Poole,Millennium Jet Card   (Rick Ware),Ford,79,crash,0,0,0,Oval
11,Dover,34,33,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,43,dvp,0,3,0,Oval
11,Dover,35,15,99,   Daniel Suarez,Pitbull / Freeway Insurance   (Trackhouse Racing),Chevrolet,35,crash,0,2,0,Oval
11,Dover,36,16,77,   Ty Dillon,Nations Guard   (Spire Motorsports),Chevrolet,34,crash,0,1,0,Oval
12,Kansas,1,8,11,   Denny Hamlin,FedEx Express   (Joe Gibbs),Toyota,267,running,34,51,6,Oval
12,Kansas,2,2,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,267,running,85,38,0,Oval
12,Kansas,3,1,24,   William Byron,Liberty University   (Rick Hendrick),Chevrolet,267,running,10,34,0,Oval
12,Kansas,4,17,23,   Bubba Wallace,Dr Pepper Zero Sugar   (23XI Racing),Toyota,267,running,9,37,0,Oval
12,Kansas,5,3,1,   Ross Chastain,AdventHealth   (Trackhouse Racing),Chevrolet,267,running,3,34,0,Oval
12,Kansas,6,6,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,267,running,8,41,1,Oval
12,Kansas,7,21,9,   Chase Elliott,UniFirst   (Rick Hendrick),Chevrolet,267,running,5,30,0,Oval
12,Kansas,8,4,19,   Martin Truex Jr,Reser's Fine Foods   (Joe Gibbs),Toyota,267,running,79,38,0,Oval
12,Kansas,9,5,45,   Tyler Reddick,McDonald's   (23XI Racing),Toyota,267,running,23,35,0,Oval
12,Kansas,10,11,3,   Austin Dillon,BetMGM   (Richard Childress),Chevrolet,267,running,0,31,0,Oval
12,Kansas,11,13,4,   Kevin Harvick,Busch Light #ForTheFarmers   (Stewart Haas Racing),Ford,267,running,0,26,0,Oval
12,Kansas,12,33,47,   Ricky Stenhouse Jr,Dillons/Kraft Mac & Cheese   (JTG-Daugherty Racing),Chevrolet,267,running,0,25,0,Oval
12,Kansas,13,18,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,267,running,0,24,0,Oval
12,Kansas,14,27,16,   A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,267,running,0,29,0,Oval
12,Kansas,15,9,99,   Daniel Suarez,Worldwide Express   (Trackhouse Racing),Chevrolet,267,running,0,28,0,Oval
12,Kansas,16,10,12,   Ryan Blaney,Menards Moen   (Roger Penske),Ford,267,running,0,24,0,Oval
12,Kansas,17,14,17,   Chris Buescher,Fastenal / Body Guard   (Jack Roush),Ford,267,running,0,25,0,Oval
12,Kansas,18,30,31,   Justin Haley,Celsius   (Matthew Kaulig),Chevrolet,267,running,0,19,0,Oval
12,Kansas,19,20,6,   Brad Keselowski,King's Hawaiian GoTG Vol 3   (Jack Roush),Ford,267,running,0,18,0,Oval
12,Kansas,20,24,7,   Corey LaJoie,FOE   (Spire Motorsports),Chevrolet,267,running,7,17,0,Oval
12,Kansas,21,19,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,267,running,0,23,0,Oval
12,Kansas,22,26,77,   Ty Dillon,Ferris Commercial Mowers   (Spire Motorsports),Chevrolet,267,running,0,18,0,Oval
12,Kansas,23,35,51,   J.J. Yeley,Biohaven/Jacob Co.   (Rick Ware),Ford,266,running,0,0,0,Oval
12,Kansas,24,32,38,   Todd Gilliland,Speedy Cash   (Bob Jenkins),Ford,266,running,0,13,0,Oval
12,Kansas,25,29,48,   Josh Berry,Ally   (Rick Hendrick),Chevrolet,266,running,0,0,0,Oval
12,Kansas,26,23,34,   Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,266,running,1,20,0,Oval
12,Kansas,27,28,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,266,running,0,10,0,Oval
12,Kansas,28,34,15,   Brennan Poole,go2mro.com/donate VDL Strong   (Rick Ware),Ford,264,running,0,0,0,Oval
12,Kansas,29,22,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,262,running,0,16,0,Oval
12,Kansas,30,25,21,   Harrison Burton,Motorcraft/Quick Lane   (Wood Brothers),Ford,261,running,0,7,0,Oval
12,Kansas,31,15,2,   Austin Cindric,Freightliner   (Roger Penske),Ford,260,running,0,6,0,Oval
12,Kansas,32,31,14,   Chase Briscoe,Rush Truck Centers / Cummins   (Stewart Haas Racing),Ford,260,running,0,5,0,Oval
12,Kansas,33,36,78,   Josh Bilicki,Zeigler Auto Group   (B.J. McLeod),Chevrolet,260,running,0,4,0,Oval
12,Kansas,34,7,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,176,crash,0,11,0,Oval
12,Kansas,35,16,8,   Kyle Busch,Cheddar's Scratch Kitchen   (Richard Childress),Chevrolet,162,crash,0,2,0,Oval
12,Kansas,36,12,20,   Christopher Bell,SiriusXM   (Joe Gibbs),Toyota,157,crash,3,6,0,Oval
13,Darlington,1,4,24,   William Byron,AXALTA Throwback   (Rick Hendrick),Chevrolet,295,running,7,56,5,Oval
13,Darlington,2,20,4,   Kevin Harvick,SunnyD   (Stewart Haas Racing),Ford,295,running,5,42,0,Oval
13,Darlington,3,21,9,   Chase Elliott,LLumar Throwback   (Rick Hendrick),Chevrolet,295,running,0,34,0,Oval
13,Darlington,4,10,6,   Brad Keselowski,Castrol GTX   (Jack Roush),Ford,295,running,0,44,0,Oval
13,Darlington,5,2,23,   Bubba Wallace,Dr Pepper   (23XI Racing),Toyota,295,running,3,40,0,Oval
13,Darlington,6,14,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,295,running,0,31,0,Oval
13,Darlington,7,12,8,   Kyle Busch,Lucas Oil   (Richard Childress),Chevrolet,295,running,0,45,0,Oval
13,Darlington,8,22,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,295,running,0,29,0,Oval
13,Darlington,9,11,12,   Ryan Blaney,Menards Dutch Boy   (Roger Penske),Ford,295,running,4,31,0,Oval
13,Darlington,10,27,17,   Chris Buescher,Jack Roush,Ford,295,running,0,27,0,Oval
13,Darlington,11,24,38,   Todd Gilliland,Serial1.com E-Bikes   (Bob Jenkins),Ford,295,running,0,26,0,Oval
13,Darlington,12,8,11,   Denny Hamlin,Federal Express   (Joe Gibbs),Toyota,295,running,9,25,0,Oval
13,Darlington,13,3,47,   Ricky Stenhouse Jr,Kroger/Country Crock   (JTG-Daugherty Racing),Chevrolet,295,running,0,30,0,Oval
13,Darlington,14,16,20,   Christopher Bell,DEWALT   (Joe Gibbs),Toyota,295,running,0,29,0,Oval
13,Darlington,15,32,41,   Ryan Preece,United Rentals   (Stewart Haas Racing),Ford,295,running,0,22,0,Oval
13,Darlington,16,13,54,   Ty Gibbs,Shriners Children's   (Joe Gibbs),Toyota,295,running,0,21,0,Oval
13,Darlington,17,31,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,295,running,0,20,0,Oval
13,Darlington,18,15,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,295,running,0,19,0,Oval
13,Darlington,19,25,2,   Austin Cindric,Freightliner   (Roger Penske),Ford,295,running,0,18,0,Oval
13,Darlington,20,7,5,   Kyle Larson,HendrickCars.com Throwback   (Rick Hendrick),Chevrolet,295,running,29,25,0,Oval
13,Darlington,21,17,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,295,running,0,16,0,Oval
13,Darlington,22,9,45,   Tyler Reddick,Forward Together   (23XI Racing),Toyota,295,running,0,7,0,Oval
13,Darlington,23,30,16,   A.J. Allmendinger,BTS Tire & Wheel Distributors   (Matthew Kaulig),Chevrolet,294,running,0,14,0,Oval
13,Darlington,24,34,7,   Corey LaJoie,Nations Guard   (Spire Motorsports),Chevrolet,293,running,0,13,0,Oval
13,Darlington,25,28,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,293,running,0,12,0,Oval
13,Darlington,26,29,42,   Noah Gragson,Sunseeker Resorts   (Legacy Motor Club),Chevrolet,293,running,0,11,0,Oval
13,Darlington,27,33,77,   Ty Dillon,Honest Charley Speed Shop   (Spire Motorsports),Chevrolet,293,running,0,10,0,Oval
13,Darlington,28,26,51,   Ryan Newman,Biohaven/Jacob Co.   (Rick Ware),Ford,291,running,0,9,0,Oval
13,Darlington,29,5,1,   Ross Chastain,Worldwide Express / UPS   (Trackhouse Racing),Chevrolet,287,crash,93,25,1,Oval
13,Darlington,30,23,48,   Josh Berry,Ally Throwback   (Rick Hendrick),Chevrolet,286,running,0,0,0,Oval
13,Darlington,31,1,19,   Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,280,crash,145,17,1,Oval
13,Darlington,32,35,78,   B.J. McLeod,The Daily Down Force   (B.J. McLeod),Chevrolet,226,steering,0,5,0,Oval
13,Darlington,33,19,34,   Michael McDowell,StageFront.VIP   (Bob Jenkins),Ford,200,crash,0,4,0,Oval
13,Darlington,34,6,99,   Daniel Suarez,Quaker State   (Trackhouse Racing),Chevrolet,199,crash,0,3,0,Oval
13,Darlington,35,18,3,   Austin Dillon,Bass Pro Shops   (Richard Childress),Chevrolet,196,crash,0,2,0,Oval
13,Darlington,36,36,15,   Brennan Poole,Rick Ware,Ford,39,transmission,0,0,0,Oval
14,Charlotte,1,8,12,   Ryan Blaney,BodyArmor Cherry Lime   (Roger Penske),Ford,400,running,163,64,6,Oval
14,Charlotte,2,1,24,   William Byron,Liberty University Patriotic   (Rick Hendrick),Chevrolet,400,running,91,55,1,Oval
14,Charlotte,3,18,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,400,running,0,48,0,Oval
14,Charlotte,4,7,23,   Bubba Wallace,Dr Pepper Strawberries & Cream   (23XI Racing),Toyota,400,running,0,34,0,Oval
14,Charlotte,5,15,45,   Tyler Reddick,Jordan Brand   (23XI Racing),Toyota,400,running,28,48,0,Oval
14,Charlotte,6,5,8,   Kyle Busch,Alsco   (Richard Childress),Chevrolet,400,running,1,39,0,Oval
14,Charlotte,7,10,47,   Ricky Stenhouse Jr,Kroger / Coca-Cola   (JTG-Daugherty Racing),Chevrolet,400,running,4,33,0,Oval
14,Charlotte,8,11,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,400,running,12,39,1,Oval
14,Charlotte,9,33,3,   Austin Dillon,Bass Pro Shops   (Richard Childress),Chevrolet,400,running,0,28,0,Oval
14,Charlotte,10,29,38,   Zane Smith,Boot Barn   (Bob Jenkins),Ford,400,running,3,0,0,Oval
14,Charlotte,11,2,4,   Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,400,running,19,38,0,Oval
14,Charlotte,12,31,48,   Alex Bowman,Ally Patriotic   (Rick Hendrick),Chevrolet,400,running,0,26,0,Oval
14,Charlotte,13,22,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,400,running,0,24,0,Oval
14,Charlotte,14,27,16,   A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,400,running,0,23,0,Oval
14,Charlotte,15,16,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,400,running,0,22,0,Oval
14,Charlotte,16,36,15,   J.J. Yeley,Patriot Mobile   (Rick Ware),Ford,400,running,0,0,0,Oval
14,Charlotte,17,25,7,   Corey LaJoie,AeroVanti   (Spire Motorsports),Chevrolet,400,running,0,20,0,Oval
14,Charlotte,18,13,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,400,running,0,19,0,Oval
14,Charlotte,19,3,6,   Brad Keselowski,Castrol Edge   (Jack Roush),Ford,400,running,0,29,0,Oval
14,Charlotte,20,20,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,400,running,0,-103,0,Oval
14,Charlotte,21,17,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,400,running,0,23,0,Oval
14,Charlotte,22,14,1,   Ross Chastain,AdventHealth   (Trackhouse Racing),Chevrolet,400,running,0,17,0,Oval
14,Charlotte,23,24,99,   Daniel Suarez,Jockey   (Trackhouse Racing),Chevrolet,400,running,0,14,0,Oval
14,Charlotte,24,9,20,   Christopher Bell,Interstate Batteries   (Joe Gibbs),Toyota,400,running,48,27,0,Oval
14,Charlotte,25,23,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,400,running,0,12,0,Oval
14,Charlotte,26,19,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,398,running,0,21,0,Oval
14,Charlotte,27,32,77,   Ty Dillon,Ferris Commercial Mowers   (Spire Motorsports),Chevrolet,397,running,0,10,0,Oval
14,Charlotte,28,30,34,   Michael McDowell,Chicago Pneumatic Compressors   (Bob Jenkins),Ford,396,running,4,9,0,Oval
14,Charlotte,29,34,78,   B.J. McLeod,B'laster   (B.J. McLeod),Chevrolet,392,running,0,8,0,Oval
14,Charlotte,30,12,5,   Kyle Larson,HendrickCars.com Patriotic   (Rick Hendrick),Chevrolet,377,crash,1,14,0,Oval
14,Charlotte,31,21,2,   Austin Cindric,Menards Duracell   (Roger Penske),Ford,369,crash,0,6,0,Oval
14,Charlotte,32,26,43,   Erik Jones,U.S. Air Force   (Legacy Motor Club),Chevrolet,341,running,0,-55,0,Oval
14,Charlotte,33,35,51,   Todd Gilliland,Ruedebusch Development & Construction   (Rick Ware),Ford,265,crash,0,4,0,Oval
14,Charlotte,34,6,9,   Chase Elliott,NAPA Patriotic   (Rick Hendrick),Chevrolet,185,crash,6,3,0,Oval
14,Charlotte,35,4,11,   Denny Hamlin,SportClips Haircuts   (Joe Gibbs),Toyota,185,crash,20,7,0,Oval
14,Charlotte,36,28,42,   Noah Gragson,Black Rifle Coffee Company   (Legacy Motor Club),Chevrolet,117,engine,0,1,0,Oval
14,Charlotte,37,37,84,   Jimmie Johnson,Club Wyndham   (Legacy Motor Club),Chevrolet,115,crash,0,1,0,Oval
15,Gateway,1,1,8,   Kyle Busch,3CHI   (Richard Childress),Chevrolet,243,running,121,59,6,Oval
15,Gateway,2,3,11,   Denny Hamlin,SportClips Haircuts   (Joe Gibbs),Toyota,243,running,0,51,0,Oval
15,Gateway,3,6,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,243,running,0,44,0,Oval
15,Gateway,4,22,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,243,running,5,34,0,Oval
15,Gateway,5,5,19,   Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,243,running,0,39,0,Oval
15,Gateway,6,2,12,   Ryan Blaney,MenardsRichmond Water Heaters   (Roger Penske),Ford,243,running,83,50,1,Oval
15,Gateway,7,13,99,   Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,243,running,0,37,0,Oval
15,Gateway,8,7,24,   William Byron,Axalta   (Rick Hendrick),Chevrolet,243,running,30,40,0,Oval
15,Gateway,9,21,34,   Michael McDowell,Fr8Auctions.com   (Bob Jenkins),Ford,243,running,0,28,0,Oval
15,Gateway,10,4,4,   Kevin Harvick,Busch Light   (Stewart Haas Racing),Ford,243,running,0,35,0,Oval
15,Gateway,11,17,20,   Christopher Bell,DeWalt Construction Technology   (Joe Gibbs),Toyota,243,running,0,26,0,Oval
15,Gateway,12,27,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,243,running,0,25,0,Oval
15,Gateway,13,10,2,   Austin Cindric,Freightliner   (Roger Penske),Ford,243,running,0,26,0,Oval
15,Gateway,14,11,16,   A.J. Allmendinger,Farmsmart   (Matthew Kaulig),Chevrolet,243,running,0,23,0,Oval
15,Gateway,15,28,38,   Todd Gilliland,Serial 1 E-Bikes   (Bob Jenkins),Ford,243,running,0,22,0,Oval
15,Gateway,16,23,31,   Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,243,running,0,21,0,Oval
15,Gateway,17,29,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,243,running,0,20,0,Oval
15,Gateway,18,31,43,   Erik Jones,Bommarito.com   (Legacy Motor Club),Chevrolet,243,running,0,19,0,Oval
15,Gateway,19,24,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,243,running,0,18,0,Oval
15,Gateway,20,15,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,243,running,0,17,0,Oval
15,Gateway,21,30,9,   Corey LaJoie,NAPA Auto Parts   (Rick Hendrick),Chevrolet,243,running,0,16,0,Oval
15,Gateway,22,8,1,   Ross Chastain,Moose Fraternity   (Trackhouse Racing),Chevrolet,243,running,0,20,0,Oval
15,Gateway,23,14,21,   Harrison Burton,Motorcraft/Quick Lane   (Wood Brothers),Ford,243,running,0,14,0,Oval
15,Gateway,24,36,51,   J.J. Yeley,Biohaven/Jacob Co.   (Rick Ware),Ford,243,running,0,0,0,Oval
15,Gateway,25,33,77,   Ty Dillon,Nations Guard   (Spire Motorsports),Chevrolet,243,running,0,12,0,Oval
15,Gateway,26,18,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,243,running,0,11,0,Oval
15,Gateway,27,34,78,   B.J. McLeod,Circle B Diecast   (B.J. McLeod),Chevrolet,243,running,0,10,0,Oval
15,Gateway,28,19,6,   Brad Keselowski,King's Hawaiian   (Jack Roush),Ford,243,running,0,9,0,Oval
15,Gateway,29,35,15,   Gray Gaulding,Panini America   (Rick Ware),Ford,242,running,0,0,0,Oval
15,Gateway,30,20,23,   Bubba Wallace,Leidos   (23XI Racing),Toyota,236,crash,0,7,0,Oval
15,Gateway,31,16,3,   Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,223,crash,0,6,0,Oval
15,Gateway,32,12,47,   Ricky Stenhouse Jr,NOS Energy Drink   (JTG-Daugherty Racing),Chevrolet,219,crash,0,10,0,Oval
15,Gateway,33,32,42,   Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,197,crash,0,4,0,Oval
15,Gateway,34,25,14,   Chase Briscoe,Ford Performance Racing School   (Stewart Haas Racing),Ford,193,running,0,3,0,Oval
15,Gateway,35,9,45,   Tyler Reddick,McDonald's   (23XI Racing),Toyota,174,crash,4,2,0,Oval
15,Gateway,36,26,7,   Carson Hocevar,Schluter Systems   (Spire Motorsports),Chevrolet,91,crash,0,0,0,Oval
16,Sonoma,1,8,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,110,running,51,53,5,Road
16,Sonoma,2,12,8,   Kyle Busch,McLaren Custom Grills   (Richard Childress),Chevrolet,110,running,17,45,1,Road
16,Sonoma,3,17,22,   Joey Logano,AutoTrader   (Roger Penske),Ford,110,running,0,43,0,Road
16,Sonoma,4,7,17,   Chris Buescher,Fifth Third Bank   (Jack Roush),Ford,110,running,0,37,0,Road
16,Sonoma,5,10,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,110,running,7,32,0,Road
16,Sonoma,6,5,16,   A.J. Allmendinger,Gabriel Glas   (Matthew Kaulig),Chevrolet,110,running,0,38,0,Road
16,Sonoma,7,3,34,   Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,110,running,1,39,0,Road
16,Sonoma,8,16,5,   Kyle Larson,Valvoline   (Rick Hendrick),Chevrolet,110,running,0,29,0,Road
16,Sonoma,9,4,20,   Christopher Bell,Rheem / Resideo   (Joe Gibbs),Toyota,110,running,0,38,0,Road
16,Sonoma,10,15,1,   Ross Chastain,Kubota   (Trackhouse Racing),Chevrolet,110,running,1,35,0,Road
16,Sonoma,11,21,4,   Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,110,running,0,27,0,Road
16,Sonoma,12,13,47,   Ricky Stenhouse Jr,Kroger/Cottonelle   (JTG-Daugherty Racing),Chevrolet,110,running,0,32,0,Road
16,Sonoma,13,22,41,   Ryan Preece,Autodesk   (Stewart Haas Racing),Ford,110,running,0,24,0,Road
16,Sonoma,14,26,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,110,running,0,30,0,Road
16,Sonoma,15,14,48,   Alex Bowman,Ally Pride   (Rick Hendrick),Chevrolet,110,running,0,24,0,Road
16,Sonoma,16,25,6,   Brad Keselowski,King's Hawaiian   (Jack Roush),Ford,110,running,0,21,0,Road
16,Sonoma,17,18,23,   Bubba Wallace,Door Dash   (23XI Racing),Toyota,110,running,0,20,0,Road
16,Sonoma,18,6,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,110,running,0,22,0,Road
16,Sonoma,19,11,3,   Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,110,running,0,23,0,Road
16,Sonoma,20,19,7,   Corey LaJoie,Schluter Systems   (Spire Motorsports),Chevrolet,110,running,0,17,0,Road
16,Sonoma,21,23,31,   Justin Haley,Cirkul   (Matthew Kaulig),Chevrolet,110,running,0,16,0,Road
16,Sonoma,22,9,99,   Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,110,running,0,15,0,Road
16,Sonoma,23,27,77,   Ty Dillon,Nations Guard   (Spire Motorsports),Chevrolet,110,running,0,14,0,Road
16,Sonoma,24,32,51,   Todd Gilliland,Serial 1 E-Bikes   (Rick Ware),Ford,110,running,0,13,0,Road
16,Sonoma,25,34,2,   Austin Cindric,America's Tire   (Roger Penske),Ford,110,running,0,12,0,Road
16,Sonoma,26,35,42,   Grant Enfinger,Sunseeker Resort   (Legacy Motor Club),Chevrolet,110,running,0,0,0,Road
16,Sonoma,27,36,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,110,running,0,10,0,Road
16,Sonoma,28,20,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,110,running,0,9,0,Road
16,Sonoma,29,24,14,   Chase Briscoe,Ford Performance Racing School   (Stewart Haas Racing),Ford,110,running,0,8,0,Road
16,Sonoma,30,29,78,   Josh Bilicki,Zeigler Auto Group   (B.J. McLeod),Chevrolet,110,running,0,0,0,Road
16,Sonoma,31,31,12,   Ryan Blaney,Menards Moen   (Roger Penske),Ford,110,running,0,6,0,Road
16,Sonoma,32,28,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,109,running,0,5,0,Road
16,Sonoma,33,2,45,   Tyler Reddick,The Beast Unleashed   (23XI Racing),Toyota,109,running,0,9,0,Road
16,Sonoma,34,30,38,   Zane Smith,Wellcare   (Bob Jenkins),Ford,109,running,0,0,0,Road
16,Sonoma,35,33,15,   Andy Lally,Camping World   (Rick Ware),Ford,109,running,0,2,0,Road
16,Sonoma,36,1,11,   Denny Hamlin,SportClips Haircuts   (Joe Gibbs),Toyota,92,crash,33,11,1,Road
17,Nashville,1,1,1,   Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,300,running,99,57,5,Oval
17,Nashville,2,6,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,300,running,50,51,0,Oval
17,Nashville,3,8,11,   Denny Hamlin,FedEx Ground   (Joe Gibbs),Toyota,300,running,81,50,1,Oval
17,Nashville,4,14,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,300,running,1,42,0,Oval
17,Nashville,5,7,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,300,running,0,35,0,Oval
17,Nashville,6,5,24,   William Byron,Liberty University   (Rick Hendrick),Chevrolet,300,running,5,46,0,Oval
17,Nashville,7,22,20,   Christopher Bell,DEWALT   (Joe Gibbs),Toyota,300,running,3,38,0,Oval
17,Nashville,8,23,43,   Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,300,running,0,30,0,Oval
17,Nashville,9,11,8,   Kyle Busch,Cheddar's Scratch Kitchen   (Richard Childress),Chevrolet,300,running,12,32,0,Oval
17,Nashville,10,19,16,   A.J. Allmendinger,Celsius   (Matthew Kaulig),Chevrolet,300,running,0,31,0,Oval
17,Nashville,11,20,6,   Brad Keselowski,Solomon Plumbing   (Jack Roush),Ford,300,running,2,26,0,Oval
17,Nashville,12,10,99,   Daniel Suarez,Tootsies Orchid Lounge   (Trackhouse Racing),Chevrolet,300,running,1,25,0,Oval
17,Nashville,13,26,3,   Austin Dillon,Huk Performance Fishing   (Richard Childress),Chevrolet,300,running,0,24,0,Oval
17,Nashville,14,16,54,   Ty Gibbs,Interstate Batteries   (Joe Gibbs),Toyota,300,running,0,23,0,Oval
17,Nashville,15,9,23,   Bubba Wallace,McDonald's   (23XI Racing),Toyota,300,running,0,27,0,Oval
17,Nashville,16,25,41,   Ryan Preece,Morton Buildings   (Stewart Haas Racing),Ford,300,running,0,21,0,Oval
17,Nashville,17,15,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,300,running,9,20,0,Oval
17,Nashville,18,12,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,300,running,0,19,0,Oval
17,Nashville,19,4,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,300,running,0,18,0,Oval
