Track,Pos,St,#,Driver,Sponsor/Owner,Car,Led,TrackType
LasVegas,13,12,88,AlexBowman,Llumar(RickHendrick),Chevrolet,0,Oval
LasVegas,14,23,17,ChrisBuescher,Fastenal/3M(JackRoush),Ford,0,Oval
LasVegas,15,1,18,KyleBusch,SnickersWhite(JoeGibbs),Toyota,0,Oval
LasVegas,16,30,32,CoreyLaJoie,SchluterSystems(ArchieSt.Hilaire),Ford,0,Oval
LasVegas,17,4,11,DennyHamlin,FedExGround(JoeGibbs),Toyota,0,Oval
LasVegas,18,25,8,TylerReddick,TametheBeast(RichardChildress),Chevrolet,0,Oval
LasVegas,19,17,41,ColeCuster,ProductionAllianceGroup/Haas(StewartHaasRacing),Ford,0,Oval
LasVegas,20,2,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs(JoeGibbs),Toyota,1,Oval
LasVegas,21,14,10,AricAlmirola,Smithfield(StewartHaasRacing),Ford,0,Oval
LasVegas,22,11,24,WilliamByron,Axalta(RickHendrick),Chevrolet,0,Oval
LasVegas,23,16,20,ErikJones,IrwinSPEEDBOR(JoeGibbs),Toyota,0,Oval
LasVegas,24,29,38,JohnH.Nemechek,Berry'sBullets(BobJenkins),Ford,0,Oval
LasVegas,25,13,1,KurtBusch,MonsterEnergy(ChipGanassi),Chevrolet,0,Oval
LasVegas,26,10,9,ChaseElliott,NAPAAutoParts(RickHendrick),Chevrolet,70,Oval
LasVegas,27,15,6,RossChastain,WyndhamRewards(JackRoush),Ford,0,Oval
LasVegas,28,37,52,J.J.Yeley,JacobCompanies(RickWare),Ford,0,Oval
LasVegas,29,33,15,BrennanPoole,GoettlAirConditioning&Plumbing(JayRobinson),Chevrolet,0,Oval
LasVegas,30,35,96,DanielSuarez,ToyotaCertifiedUsedVehicles(GauntBrothers),Toyota,0,Oval
LasVegas,31,31,53,JoeyGase,NevadaDonorNetwork(RickWare),Ford,0,Oval
LasVegas,32,32,0,QuinHouff,VictoryWeekend(StarComRacing),Chevrolet,0,Oval
LasVegas,33,22,95,ChristopherBell,Rheem/Procore/RTP(LeavineFamilyRacing),Toyota,0,Oval
LasVegas,34,36,77,ReedSorenson,SpireMotorsports(SpireMotorsports),Chevrolet,0,Oval
LasVegas,35,34,51,GarrettSmithley,RickWareRacing(RickWare),Chevrolet,0,Oval
LasVegas,36,28,34,MichaelMcDowell,Love'sTravelStops/Speedco(BobJenkins),Ford,0,Oval
LasVegas,37,20,37,RyanPreece,NaturalLightSeltzer(JTG-DaughertyRacing),Chevrolet,0,Oval
LasVegas,38,38,66,TimmyHill,Manscaped/LasVegas.net(CarlLong),Toyota,0,Oval
Fontana,1,3,88,AlexBowman,Cincinnati(RickHendrick),Chevrolet,110,Oval
Fontana,2,17,18,KyleBusch,InterstateBatteries(JoeGibbs),Toyota,0,Oval
Fontana,3,4,1,KurtBusch,MonsterEnergy(ChipGanassi),Chevrolet,0,Oval
Fontana,4,13,9,ChaseElliott,NAPAAutoParts(RickHendrick),Chevrolet,0,Oval
Fontana,5,15,2,BradKeselowski,DiscountTire/America'sTire(RogerPenske),Ford,6,Oval
Fontana,6,28,11,DennyHamlin,FedExOffice(JoeGibbs),Toyota,0,Oval
Fontana,7,2,48,JimmieJohnson,Ally(RickHendrick),Chevrolet,10,Oval
Fontana,8,6,10,AricAlmirola,Smithfield(StewartHaasRacing),Ford,0,Oval
Fontana,9,5,4,KevinHarvick,Mobil1(StewartHaasRacing),Ford,0,Oval
Fontana,10,29,20,ErikJones,Reser'sFineFoods(JoeGibbs),Toyota,0,Oval
Fontana,11,19,8,TylerReddick,IAmSecond(RichardChildress),Chevrolet,0,Oval
Fontana,12,7,22,JoeyLogano,AAASouthernCalifornia(RogerPenske),Ford,0,Oval
Fontana,13,12,21,MattDiBenedetto,Menards/QuakerState(WoodBrothers),Ford,0,Oval
Fontana,14,38,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs(JoeGibbs),Toyota,3,Oval
Fontana,15,21,24,WilliamByron,AxaltaKobeBryantTribute(RickHendrick),Chevrolet,1,Oval
Fontana,16,11,17,ChrisBuescher,Fastenal/Wypall(JackRoush),Ford,0,Oval
Fontana,17,27,6,RossChastain,Castrol(JackRoush),Ford,0,Oval
Fontana,18,18,41,ColeCuster,Haas/ProductionAllianceGroup(StewartHaasRacing),Ford,0,Oval
Fontana,19,16,12,RyanBlaney,BodyArmorKobeBryantTribute(RogerPenske),Ford,54,Oval
